Packet ID,Source Address,Flow Inter Packet Times,Prefix Inter Packet Times,Hop Count,New Addresses Seen,Port
1,23000000,91611330,91611330,3000000,2000000,0
1,22000000,91628557,17227,3000000,2000000,0
1,42000000,91642174,91642174,4000000,2000000,0
1,62000000,91736440,91736440,5000000,2000000,0
1,43000000,91815401,173227,4000000,2000000,0
1,24000000,91820805,192248,3000000,3000000,0
2,23000000,216367,6892,3000000,3000000,0
1,63000000,91835913,99473,5000000,2000000,0
1,64000000,91843906,7993,5000000,3000000,0
2,22000000,221926,22786,3000000,3000000,0
2,42000000,224446,51219,4000000,2000000,0
1,84000000,91869767,91869767,6000000,2000000,0
1,103000000,91870008,91870008,7000000,2000000,0
1,83000000,163010,29683,6000000,2000000,0
1,44000000,91912768,46148,4000000,3000000,0
1,102000000,91914235,44227,7000000,2000000,0
1,104000000,91921265,7030,7000000,3000000,0
2,62000000,88886,88886,5000000,3000000,0
1,82000000,120918,57381,6000000,3000000,0
2,43000000,211132,113765,4000000,3000000,0
2,24000000,220868,191190,3000000,3000000,0
3,23000000,226573,12597,3000000,3000000,0
2,63000000,130405,130405,5000000,3000000,0
2,64000000,220354,1063,5000000,3000000,0
3,22000000,227898,24111,3000000,3000000,0
2,103000000,212094,160837,7000000,3000000,0
2,84000000,213927,126863,6000000,3000000,0
3,42000000,223921,64008,4000000,3000000,0
2,83000000,186403,35501,6000000,3000000,0
2,44000000,226766,48993,4000000,3000000,0
2,102000000,227854,59987,7000000,3000000,0
2,104000000,223196,2372,7000000,3000000,0
3,62000000,100420,100420,5000000,3000000,0
2,82000000,121480,65482,6000000,3000000,0
3,43000000,232818,119817,4000000,3000000,0
3,24000000,231007,194299,3000000,3000000,0
4,23000000,226121,7711,3000000,3000000,0
3,63000000,120777,120777,5000000,3000000,0
3,64000000,228850,7653,5000000,3000000,0
3,103000000,224930,162571,7000000,3000000,0
4,22000000,230244,28234,3000000,3000000,0
3,84000000,226599,125616,6000000,3000000,0
4,42000000,231400,62590,4000000,3000000,0
3,83000000,180479,34866,6000000,3000000,0
3,44000000,232397,49990,4000000,3000000,0
3,102000000,230842,65899,7000000,3000000,0
3,104000000,232769,4299,7000000,3000000,0
4,62000000,104574,104574,5000000,3000000,0
3,82000000,123554,63852,6000000,3000000,0
4,43000000,225061,112481,4000000,3000000,0
4,24000000,228429,192484,3000000,3000000,0
5,23000000,224690,3972,3000000,3000000,0
4,63000000,117090,117090,5000000,3000000,0
4,64000000,228115,6451,5000000,3000000,0
4,103000000,226634,156436,7000000,3000000,0
5,22000000,228604,32148,3000000,3000000,0
4,84000000,227586,128868,6000000,3000000,0
5,42000000,221516,59045,4000000,3000000,0
4,83000000,173018,32823,6000000,3000000,0
4,44000000,227445,55919,4000000,3000000,0
4,102000000,227352,66617,7000000,3000000,0
4,104000000,226813,3760,7000000,3000000,0
5,62000000,106243,106243,5000000,3000000,0
4,82000000,120270,64342,6000000,3000000,0
5,43000000,228287,113323,4000000,3000000,0
5,24000000,224079,187959,3000000,3000000,0
6,23000000,228330,8223,3000000,3000000,0
5,64000000,226639,120396,5000000,3000000,0
5,63000000,112872,52,5000000,3000000,0
5,103000000,229317,158940,7000000,3000000,0
6,22000000,227343,31161,3000000,3000000,0
5,84000000,227389,130224,6000000,3000000,0
6,42000000,224203,54961,4000000,3000000,0
5,83000000,169048,31248,6000000,3000000,0
5,102000000,219703,57003,7000000,3000000,0
5,44000000,232135,63851,4000000,3000000,0
5,104000000,228401,12458,7000000,3000000,0
6,62000000,113658,113658,5000000,3000000,0
5,82000000,117053,68453,6000000,3000000,0
6,43000000,229335,110523,4000000,3000000,0
6,24000000,228803,189419,3000000,3000000,0
7,23000000,232600,12020,3000000,3000000,0
6,64000000,232154,118444,5000000,3000000,0
6,63000000,115066,17,5000000,3000000,0
6,103000000,227496,158035,7000000,3000000,0
7,22000000,226131,24692,3000000,3000000,0
7,42000000,224024,49650,4000000,3000000,0
6,84000000,226675,126974,6000000,3000000,0
6,83000000,160965,30596,6000000,3000000,0
6,102000000,227046,56553,7000000,3000000,0
6,44000000,223307,63134,4000000,3000000,0
6,104000000,229195,14607,7000000,3000000,0
7,62000000,112184,112184,5000000,3000000,0
6,82000000,115189,72685,6000000,3000000,0
7,43000000,231488,118704,4000000,3000000,0
7,24000000,233309,196597,3000000,3000000,0
8,23000000,229370,8081,3000000,3000000,0
7,64000000,221343,109142,5000000,3000000,0
7,63000000,114442,8305,5000000,3000000,0
7,103000000,221888,150728,7000000,3000000,0
8,42000000,223663,41825,4000000,3000000,0
7,84000000,223488,120207,6000000,3000000,0
8,22000000,228285,23607,3000000,3000000,0
7,83000000,163311,40099,6000000,3000000,0
7,102000000,228913,63578,7000000,3000000,0
7,44000000,227875,67346,4000000,3000000,0
7,104000000,225916,11610,7000000,3000000,0
8,62000000,108430,108430,5000000,3000000,0
7,82000000,111545,65681,6000000,3000000,0
8,43000000,237464,128293,4000000,3000000,0
8,24000000,227682,195994,3000000,3000000,0
9,23000000,228610,9009,3000000,3000000,0
8,64000000,229663,112928,5000000,3000000,0
8,63000000,111343,1530,5000000,3000000,0
9,42000000,220617,24978,4000000,3000000,0
8,103000000,225823,150635,7000000,3000000,0
8,84000000,223778,117998,6000000,3000000,0
9,22000000,223030,18027,3000000,3000000,0
8,83000000,163984,42871,6000000,3000000,0
8,102000000,226712,64467,7000000,3000000,0
8,44000000,228871,75600,4000000,3000000,0
8,104000000,230319,15217,7000000,3000000,0
8,82000000,116083,66557,6000000,3000000,0
9,62000000,116225,116225,5000000,3000000,0
