Packet ID,Source Address,Hop Count,New Addresses Seen,Port,Protocol,flow_window_packet_count,prefix_window_packet_count
1,15000000,3000000,2000000,0,1000000,1000000,1000000
1,14000000,3000000,2000000,0,1000000,1000000,2000000
1,13000000,3000000,3000000,0,1000000,1000000,3000000
1,33000000,4000000,2000000,0,1000000,1000000,1000000
1,34000000,4000000,2000000,0,1000000,1000000,2000000
1,35000000,4000000,3000000,0,1000000,1000000,3000000
1,55000000,5000000,2000000,0,1000000,1000000,1000000
2,15000000,3000000,3000000,0,1000000,2000000,4000000
2,14000000,3000000,3000000,0,1000000,2000000,5000000
1,54000000,5000000,2000000,0,1000000,1000000,2000000
2,13000000,3000000,3000000,0,1000000,2000000,6000000
2,33000000,4000000,3000000,0,1000000,2000000,4000000
2,34000000,4000000,3000000,0,1000000,2000000,5000000
1,74000000,6000000,2000000,0,1000000,1000000,1000000
1,94000000,7000000,2000000,0,1000000,1000000,1000000
1,73000000,6000000,2000000,0,1000000,1000000,2000000
2,35000000,4000000,3000000,0,1000000,2000000,6000000
1,53000000,5000000,3000000,0,1000000,1000000,3000000
2,55000000,5000000,3000000,0,1000000,3000000,4000000
3,15000000,3000000,3000000,0,1000000,3000000,7000000
1,1000000,1000000,0,8000000,0,1000000,1000000
3,14000000,3000000,3000000,0,1000000,3000000,8000000
2,54000000,5000000,3000000,0,1000000,2000000,5000000
3,13000000,3000000,3000000,0,1000000,3000000,9000000
3,33000000,4000000,3000000,0,1000000,3000000,7000000
1,95000000,7000000,2000000,0,1000000,1000000,2000000
1,5000000,1000000,0,12000000,0,1000000,2000000
1,75000000,6000000,3000000,0,1000000,3000000,3000000
2,74000000,6000000,3000000,0,1000000,4000000,4000000
1,93000000,7000000,3000000,0,1000000,1000000,3000000
3,34000000,4000000,3000000,0,1000000,3000000,8000000
2,73000000,6000000,3000000,0,1000000,2000000,5000000
1,3000000,1000000,0,10000000,0,1000000,3000000
1,0,1000000,0,7000000,0,1000000,4000000
1,4000000,1000000,0,11000000,0,1000000,5000000
2,94000000,7000000,3000000,0,1000000,2000000,4000000
3,35000000,4000000,3000000,0,1000000,3000000,9000000
1,2000000,1000000,0,9000000,0,1000000,6000000
2,53000000,5000000,3000000,0,1000000,2000000,6000000
1,4000000,1000000,0,11000000,1000000,1000000,7000000
1,2000000,1000000,0,9000000,1000000,2000000,8000000
1,0,1000000,0,7000000,1000000,1000000,9000000
3,55000000,5000000,3000000,0,1000000,5000000,7000000
4,15000000,3000000,3000000,0,1000000,4000000,10000000
1,3000000,1000000,0,10000000,1000000,4000000,10000000
1,1000000,1000000,0,8000000,1000000,1000000,11000000
3,54000000,5000000,3000000,0,1000000,4000000,8000000
4,14000000,3000000,3000000,0,1000000,4000000,11000000
1,5000000,1000000,0,12000000,1000000,1000000,12000000
4,13000000,3000000,3000000,0,1000000,4000000,12000000
4,33000000,4000000,3000000,0,1000000,5000000,10000000
2,95000000,7000000,3000000,0,1000000,2000000,5000000
3,74000000,6000000,3000000,0,1000000,6000000,6000000
2,75000000,6000000,3000000,0,1000000,5000000,7000000
2,93000000,7000000,3000000,0,1000000,2000000,6000000
4,34000000,4000000,3000000,0,1000000,5000000,11000000
3,73000000,6000000,3000000,0,1000000,3000000,8000000
3,94000000,7000000,3000000,0,1000000,3000000,7000000
4,35000000,4000000,3000000,0,1000000,5000000,12000000
3,53000000,5000000,3000000,0,1000000,3000000,9000000
