Packet ID,Source Address,Hop Count,New Addresses Seen,Port,Protocol,flow_window_packet_count,prefix_window_packet_count
1,22000000,3000000,2000000,0,1000000,1000000,1000000
1,23000000,3000000,2000000,0,1000000,1000000,2000000
1,24000000,3000000,3000000,0,1000000,1000000,3000000
1,43000000,4000000,2000000,0,1000000,1000000,1000000
1,42000000,4000000,2000000,0,1000000,1000000,2000000
1,44000000,4000000,3000000,0,1000000,1000000,3000000
1,62000000,5000000,2000000,0,1000000,1000000,1000000
1,63000000,5000000,2000000,0,1000000,1000000,2000000
1,84000000,6000000,2000000,0,1000000,1000000,1000000
1,64000000,5000000,3000000,0,1000000,1000000,3000000
2,22000000,3000000,3000000,0,1000000,2000000,4000000
1,103000000,7000000,2000000,0,1000000,1000000,1000000
1,82000000,6000000,2000000,0,1000000,2000000,2000000
2,23000000,3000000,3000000,0,1000000,2000000,5000000
1,83000000,6000000,3000000,0,1000000,2000000,3000000
1,104000000,7000000,2000000,0,1000000,1000000,2000000
1,102000000,7000000,3000000,0,1000000,1000000,3000000
2,24000000,3000000,3000000,0,1000000,2000000,6000000
2,43000000,4000000,3000000,0,1000000,2000000,4000000
2,42000000,4000000,3000000,0,1000000,2000000,5000000
2,62000000,5000000,3000000,0,1000000,3000000,4000000
2,44000000,4000000,3000000,0,1000000,2000000,6000000
2,63000000,5000000,3000000,0,1000000,3000000,5000000
2,84000000,6000000,3000000,0,1000000,2000000,4000000
2,103000000,7000000,3000000,0,1000000,2000000,4000000
2,64000000,5000000,3000000,0,1000000,2000000,6000000
3,22000000,3000000,3000000,0,1000000,3000000,7000000
2,82000000,6000000,3000000,0,1000000,4000000,5000000
3,23000000,3000000,3000000,0,1000000,3000000,8000000
2,83000000,6000000,3000000,0,1000000,4000000,6000000
2,104000000,7000000,3000000,0,1000000,2000000,5000000
2,102000000,7000000,3000000,0,1000000,2000000,6000000
3,24000000,3000000,3000000,0,1000000,3000000,9000000
3,43000000,4000000,3000000,0,1000000,3000000,7000000
3,42000000,4000000,3000000,0,1000000,3000000,8000000
3,44000000,4000000,3000000,0,1000000,3000000,9000000
3,62000000,5000000,3000000,0,1000000,5000000,7000000
3,63000000,5000000,3000000,0,1000000,5000000,8000000
3,103000000,7000000,3000000,0,1000000,3000000,7000000
3,84000000,6000000,3000000,0,1000000,3000000,7000000
3,82000000,6000000,3000000,0,1000000,6000000,8000000
3,64000000,5000000,3000000,0,1000000,3000000,9000000
4,22000000,3000000,3000000,0,1000000,4000000,10000000
4,23000000,3000000,3000000,0,1000000,4000000,11000000
3,83000000,6000000,3000000,0,1000000,6000000,9000000
3,104000000,7000000,3000000,0,1000000,3000000,8000000
3,102000000,7000000,3000000,0,1000000,3000000,9000000
4,24000000,3000000,3000000,0,1000000,4000000,12000000
4,43000000,4000000,3000000,0,1000000,4000000,10000000
4,42000000,4000000,3000000,0,1000000,4000000,11000000
4,44000000,4000000,3000000,0,1000000,4000000,12000000
4,62000000,5000000,3000000,0,1000000,7000000,10000000
4,63000000,5000000,3000000,0,1000000,7000000,11000000
4,103000000,7000000,3000000,0,1000000,4000000,10000000
4,84000000,6000000,3000000,0,1000000,4000000,10000000
4,64000000,5000000,3000000,0,1000000,4000000,12000000
4,82000000,6000000,3000000,0,1000000,8000000,11000000
5,23000000,3000000,3000000,0,1000000,5000000,13000000
5,22000000,3000000,3000000,0,1000000,5000000,14000000
4,83000000,6000000,3000000,0,1000000,8000000,12000000
4,104000000,7000000,3000000,0,1000000,4000000,11000000
4,102000000,7000000,3000000,0,1000000,4000000,12000000
5,24000000,3000000,3000000,0,1000000,5000000,15000000
5,43000000,4000000,3000000,0,1000000,5000000,13000000
5,42000000,4000000,3000000,0,1000000,5000000,14000000
5,44000000,4000000,3000000,0,1000000,5000000,15000000
5,62000000,5000000,3000000,0,1000000,9000000,13000000
5,63000000,5000000,3000000,0,1000000,9000000,14000000
5,84000000,6000000,3000000,0,1000000,5000000,13000000
5,103000000,7000000,3000000,0,1000000,5000000,13000000
5,64000000,5000000,3000000,0,1000000,5000000,15000000
5,82000000,6000000,3000000,0,1000000,10000000,14000000
6,23000000,3000000,3000000,0,1000000,6000000,16000000
6,22000000,3000000,3000000,0,1000000,6000000,17000000
5,83000000,6000000,3000000,0,1000000,10000000,15000000
5,104000000,7000000,3000000,0,1000000,5000000,14000000
5,102000000,7000000,3000000,0,1000000,5000000,15000000
6,24000000,3000000,3000000,0,1000000,6000000,18000000
6,43000000,4000000,3000000,0,1000000,6000000,16000000
6,42000000,4000000,3000000,0,1000000,6000000,17000000
6,44000000,4000000,3000000,0,1000000,6000000,18000000
6,82000000,6000000,3000000,0,1000000,11000000,16000000
6,62000000,5000000,3000000,0,1000000,11000000,16000000
6,63000000,5000000,3000000,0,1000000,12000000,17000000
6,103000000,7000000,3000000,0,1000000,6000000,16000000
6,64000000,5000000,3000000,0,1000000,6000000,18000000
6,84000000,6000000,3000000,0,1000000,6000000,17000000
7,23000000,3000000,3000000,0,1000000,7000000,19000000
6,83000000,6000000,3000000,0,1000000,12000000,18000000
7,22000000,3000000,3000000,0,1000000,7000000,20000000
6,102000000,7000000,3000000,0,1000000,6000000,17000000
6,104000000,7000000,3000000,0,1000000,6000000,18000000
7,24000000,3000000,3000000,0,1000000,7000000,21000000
7,43000000,4000000,3000000,0,1000000,7000000,19000000
7,42000000,4000000,3000000,0,1000000,7000000,20000000
7,44000000,4000000,3000000,0,1000000,7000000,21000000
7,103000000,7000000,3000000,0,1000000,7000000,19000000
7,63000000,5000000,3000000,0,1000000,13000000,19000000
7,82000000,6000000,3000000,0,1000000,14000000,19000000
7,62000000,5000000,3000000,0,1000000,13000000,20000000
7,84000000,6000000,3000000,0,1000000,7000000,20000000
7,64000000,5000000,3000000,0,1000000,7000000,21000000
8,23000000,3000000,3000000,0,1000000,8000000,22000000
7,83000000,6000000,3000000,0,1000000,14000000,21000000
8,22000000,3000000,3000000,0,1000000,8000000,23000000
7,102000000,7000000,3000000,0,1000000,7000000,20000000
7,104000000,7000000,3000000,0,1000000,7000000,21000000
8,24000000,3000000,3000000,0,1000000,8000000,24000000
8,43000000,4000000,3000000,0,1000000,8000000,22000000
8,42000000,4000000,3000000,0,1000000,8000000,23000000
8,44000000,4000000,3000000,0,1000000,8000000,24000000
8,103000000,7000000,3000000,0,1000000,8000000,22000000
8,62000000,5000000,3000000,0,1000000,15000000,22000000
8,84000000,6000000,3000000,0,1000000,8000000,22000000
8,63000000,5000000,3000000,0,1000000,15000000,23000000
8,82000000,6000000,3000000,0,1000000,16000000,23000000
8,64000000,5000000,3000000,0,1000000,8000000,24000000
9,23000000,3000000,3000000,0,1000000,9000000,25000000
8,83000000,6000000,3000000,0,1000000,16000000,24000000
9,22000000,3000000,3000000,0,1000000,9000000,26000000
8,102000000,7000000,3000000,0,1000000,8000000,23000000
8,104000000,7000000,3000000,0,1000000,8000000,24000000
9,24000000,3000000,3000000,0,1000000,9000000,27000000
9,43000000,4000000,3000000,0,1000000,9000000,25000000
9,42000000,4000000,3000000,0,1000000,9000000,26000000
9,84000000,6000000,3000000,0,1000000,9000000,25000000
9,44000000,4000000,3000000,0,1000000,9000000,27000000
9,103000000,7000000,3000000,0,1000000,9000000,25000000
9,62000000,5000000,3000000,0,1000000,17000000,25000000
9,63000000,5000000,3000000,0,1000000,17000000,26000000
9,82000000,6000000,3000000,0,1000000,18000000,26000000
9,64000000,5000000,3000000,0,1000000,9000000,27000000
10,23000000,3000000,3000000,0,1000000,10000000,28000000
9,83000000,6000000,3000000,0,1000000,18000000,27000000
10,22000000,3000000,3000000,0,1000000,10000000,29000000
9,102000000,7000000,3000000,0,1000000,9000000,26000000
9,104000000,7000000,3000000,0,1000000,9000000,27000000
