Packet ID,Source Address,Hop Count,New Addresses Seen,Port,Protocol,flow_window_packet_count,prefix_window_packet_count,flow_window_start_time 1,flow_window_start_time 2,flow_window_start_time 3,prefix_window_start_time 1,prefix_window_start_time 2,prefix_window_start_time 3
1,24000000,3000000,2000000,0,1000000,1000000,1000000,278044940,278044940,278044940,278044940,278044940,278044940
1,22000000,3000000,2000000,0,1000000,1000000,2000000,278051759,278051759,278051759,278044940,278044940,278044940
1,42000000,4000000,2000000,0,1000000,1000000,1000000,278073975,278073975,278073975,278073975,278073975,278073975
1,23000000,3000000,3000000,0,1000000,1000000,3000000,278078530,278078530,278078530,278044940,278044940,278044940
1,62000000,5000000,2000000,0,1000000,1000000,1000000,278092652,278092652,278092652,278092652,278092652,278092652
1,44000000,4000000,2000000,0,1000000,1000000,2000000,278175307,278175307,278175307,278073975,278073975,278073975
1,84000000,6000000,2000000,0,1000000,1000000,1000000,278177610,278177610,278177610,278177610,278177610,278177610
1,43000000,4000000,3000000,0,1000000,1000000,3000000,278188420,278188420,278188420,278073975,278073975,278073975
1,103000000,7000000,2000000,0,1000000,1000000,1000000,278199380,278199380,278199380,278199380,278199380,278199380
1,63000000,5000000,2000000,0,1000000,1000000,2000000,278201013,278201013,278201013,278092652,278092652,278092652
1,83000000,6000000,2000000,0,1000000,2000000,2000000,278092652,278177610,278201013,278177610,278177610,278177610
1,104000000,7000000,2000000,0,1000000,1000000,2000000,278242332,278242332,278242332,278199380,278199380,278199380
2,24000000,3000000,3000000,0,1000000,2000000,4000000,278044940,278078530,278242332,278044940,278044940,278044940
1,64000000,5000000,3000000,0,1000000,1000000,3000000,278280428,278280428,278280428,278092652,278092652,278092652
2,22000000,3000000,3000000,0,1000000,2000000,5000000,278051759,278078530,278092652,278044940,278044940,278044940
1,102000000,7000000,3000000,0,1000000,1000000,3000000,278282667,278282667,278282667,278199380,278199380,278199380
2,42000000,4000000,3000000,0,1000000,2000000,4000000,278073975,278188420,278282667,278073975,278073975,278073975
2,23000000,3000000,3000000,0,1000000,2000000,6000000,278078530,278078530,278201013,278044940,278044940,278044940
1,82000000,6000000,3000000,0,1000000,2000000,3000000,278201013,278177610,278282667,278177610,278177610,278177610
2,62000000,5000000,3000000,0,1000000,3000000,4000000,278092652,278280428,278282667,278092652,278092652,278092652
2,84000000,6000000,3000000,0,1000000,2000000,4000000,278177610,278177610,278280428,278177610,278177610,278177610
2,44000000,4000000,3000000,0,1000000,2000000,5000000,278175307,278188420,278280428,278073975,278073975,278073975
2,43000000,4000000,3000000,0,1000000,2000000,6000000,278188420,278188420,278201013,278073975,278073975,278073975
2,103000000,7000000,3000000,0,1000000,2000000,4000000,278199380,278282667,278201013,278199380,278199380,278199380
2,63000000,5000000,3000000,0,1000000,3000000,5000000,278201013,278280428,278201013,278092652,278092652,278092652
2,83000000,6000000,3000000,0,1000000,4000000,5000000,278092652,278177610,278201013,278177610,278177610,278177610
2,104000000,7000000,3000000,0,1000000,2000000,5000000,278242332,278282667,278280428,278199380,278199380,278199380
3,24000000,3000000,3000000,0,1000000,3000000,7000000,278044940,278078530,278280428,278044940,278044940,278044940
3,22000000,3000000,3000000,0,1000000,3000000,8000000,278051759,278078530,278282667,278044940,278044940,278044940
3,42000000,4000000,3000000,0,1000000,3000000,7000000,278073975,278188420,278282667,278073975,278073975,278073975
