Packet Number,Ingress Prossessing Duration
1,6297
2,6282
3,6263
4,6336
5,6928
6,7457
7,7276
8,17354
9,17447
10,17730
11,18384
12,18416
13,18333
14,26054
15,26120
16,26030
17,26102
18,26070
19,26308
20,26646
21,26869
22,26087
23,26478
24,27142
25,39459
26,39518
27,39483
28,39529
29,39722
30,39506
31,39733
32,42811
33,42747
34,42848
35,42795
36,42836
37,43060
38,43119
39,43024
40,43335
41,53990
42,54121
43,54088
44,54168
45,54006
46,53970
47,54035
48,54132
49,60707
50,60868
51,61079
52,60675
53,60692
54,60857
55,61019
56,60978
57,63396
58,63516
59,63771
60,63901
61,63367
62,63381
63,63551
64,63927
65,63539
66,63916
67,69960
68,69941
69,70232
70,70335
71,66469
72,66419
73,66507
74,66483
75,66529
76,66551
77,66562
78,69831
79,69860
80,69893
81,69948
82,69904
83,69926
84,69966
85,69915
86,69977
87,76006
88,76024
89,76121
90,76093
91,76166
92,76154
93,76750
94,76824
95,76881
96,76947
97,76971
98,83739
99,83768
100,84017
101,84086
102,84056
103,84069
104,13281
105,16578
106,14481
107,24813
108,5382
109,3277
110,12435
111,12538
112,12411
113,19366
114,4322
115,4651
116,21901
117,25392
118,32204
119,40482
120,32818
121,21178
122,28926
123,32428
124,25976
125,7465
126,10952
127,21691
128,33858
129,20971
130,42087
131,41319
132,51986
133,37010
134,49552
135,33886
136,37333
137,49289
138,52834
139,59304
140,68130
141,67133
142,67121
143,72566
144,65377
145,66904
146,66876
147,66890
148,66950
149,66961
150,76907
151,79009
152,45357
153,47835
154,47865
155,47850
156,47904
157,47962
158,47816
159,47879
160,47938
161,47891
162,47924
163,47949
164,52141
165,41571
166,41616
167,41658
168,31905
169,25136
170,25154
171,25202
172,25257
173,25178
174,25190
175,25245
176,25288
177,18853
178,18869
179,18915
180,18645
181,18883
182,18925
183,18904
184,18660
185,18894
186,18936
187,18947
188,26190
189,28140
190,30755
191,30179
192,30160
193,30248
194,30193
195,30336
196,30295
197,30350
198,30206
199,30308
200,30221
201,30325
202,28648
203,5743
204,6315
205,7407
206,13237
207,13561
208,16973
209,20703
210,23083
211,26780
212,22543
213,22528
214,22780
215,22768
216,23288
217,22854
218,23314
219,22558
220,22873
221,25113
222,30415
223,24798
224,24748
225,24838
226,24935
227,24825
228,24922
229,24813
230,24887
231,29244
232,25422
233,23221
234,23324
235,23412
236,23234
237,23248
238,23365
239,23377
240,23424
241,8261
242,15001
243,14828
244,15032
245,15185
246,14974
247,15156
248,15128
249,14257
250,14313
251,14288
252,14334
253,14379
254,14323
255,14368
256,14355
257,9750
258,4227
259,4290
260,4360
261,4241
262,4314
263,4372
264,4265
265,4331
266,4209
267,4279
268,4343
269,3488
270,6286
271,8640
272,6536
273,5309
274,7040
275,13293
276,20749
277,24950
278,27837
279,30678
280,27847
281,31103
282,33492
283,35974
284,35991
285,36068
286,36120
287,36057
288,36016
289,36109
290,36043
291,36098
292,36081
293,36133
294,23154
295,24864
296,23055
297,25768
298,23099
299,23115
300,23211
301,23318
302,23267
303,23188
304,23304
305,22218
306,22553
307,22529
308,22540
309,23070
310,23080
311,23101
312,22515
313,23045
314,23091
315,7845
316,10562
317,4486
318,4610
319,4599
320,4752
321,4905
322,4883
323,5079
324,4764
325,4915
326,11195
327,11339
328,11180
329,11329
330,11305
331,11643
332,11687
333,11676
334,11664
335,11316
336,11654
337,4914
338,4208
339,4265
340,4433
341,4299
342,4287
343,4456
344,3477
345,4100
346,3553
347,6965
348,5262
349,7203
350,12967
351,15839
352,14709
353,18562
354,21626
355,24747
356,27108
357,27809
358,29644
359,29822
360,29781
361,29990
362,29809
363,29978
364,29795
365,29844
366,30011
367,29834
368,30001
369,25434
370,27244
371,30298
372,21315
373,25719
374,25735
375,25933
376,25946
377,26030
378,26058
379,21234
380,21676
381,21551
382,22027
383,21995
384,22321
385,21908
386,22214
387,21650
388,22016
389,7512
390,11332
391,10537
392,10653
393,10786
394,10800
395,10982
396,10772
397,10960
398,11004
399,10971
400,10948
401,10993
402,10644
403,10713
404,10757
405,10675
406,10735
407,10686
408,10746
409,10661
410,10785
411,10724
412,10773
413,4856
414,4195
415,4165
416,4209
417,4276
418,3590
419,4273
420,4848
421,7511
422,3210
423,6965
424,4374
425,10850
426,15049
427,18255
428,20845
429,19921
430,23436
431,26612
432,29197
433,32165
434,29706
435,29789
436,29688
437,29733
