Packet Number,Ingress Prossessing Duration
1,6805
2,6758
3,6826
4,7014
5,7197
6,7468
7,13858
8,14703
9,15060
10,13918
11,15037
12,22389
13,22454
14,22863
15,22499
16,23049
17,27129
18,27181
19,28203
20,27143
21,27170
22,27612
23,35497
24,35650
25,35636
26,36637
27,36610
28,37168
29,36591
30,37151
31,39332
32,39938
33,40679
34,39454
35,40352
36,39524
37,40649
38,40799
39,40787
40,43056
41,43343
42,43302
43,44084
44,43316
45,44058
46,44159
47,49131
48,49339
49,49324
50,49636
51,49649
52,49308
53,49625
54,50280
55,49611
56,50267
57,61029
58,61215
59,61201
60,61186
61,61170
62,61567
63,62019
64,66257
65,66463
66,66511
67,66433
68,66417
69,66488
70,66476
71,66534
72,66522
73,72947
74,72984
75,72895
76,72960
77,73005
78,73626
79,72973
80,73614
81,81084
82,81147
83,81103
84,82873
85,81158
86,82843
87,81750
88,82366
89,82327
90,82309
91,82571
92,82367
93,82507
94,77690
95,77984
96,77968
97,78010
98,18961
99,8194
100,15257
101,13268
102,4125
103,13464
104,5874
105,13061
106,7319
107,9713
108,14188
109,7406
110,6565
111,4232
112,14622
113,3440
114,10257
115,8895
116,13435
117,22721
118,34982
119,37207
120,48291
121,53091
122,48803
123,56232
124,53733
125,71827
126,66415
127,65585
128,70739
129,81871
130,68371
131,76626
132,81380
133,93785
134,74024
135,83880
136,79969
137,103469
138,114661
139,122503
140,122555
141,110568
142,107731
143,109875
144,110117
145,110631
146,109859
147,109890
148,110287
149,109920
150,110469
151,110793
152,109904
153,110298
154,114665
155,110954
156,120260
157,125803
158,127305
159,8182
160,8281
161,8415
162,8162
163,8295
164,8618
165,12801
166,4431
167,7250
168,1934
169,1961
170,1986
171,2189
172,2637
173,1919
174,1975
175,2361
176,1948
177,1997
178,2810
179,119661
180,123574
181,123068
182,129702
183,113338
184,126220
185,2141
186,124922
187,125443
188,125812
189,269
190,422
191,760
192,748
193,720
194,933
195,129586
196,3672
197,6157
198,9647
199,7839
200,8027
201,8063
202,12658
203,12692
204,12881
205,13175
206,13363
207,12679
208,13351
209,18188
210,21760
211,4403
212,3075
213,6430
214,6234
215,1916
216,2045
217,2144
218,2566
219,2581
220,2309
221,2594
222,3272
223,905
224,129604
225,125906
226,123898
227,125906
228,127081
229,127844
230,124088
231,115592
232,118180
233,118386
234,118583
235,118323
236,116288
237,118791
238,117554
239,114079
240,110925
241,95341
242,95451
243,95464
244,95477
245,95490
246,95587
247,95550
248,92104
249,84174
250,83823
251,86423
252,88891
253,88678
254,90896
255,88502
256,88621
257,88694
258,88786
259,87671
260,88752
261,89225
262,89447
263,88451
264,79446
265,66740
266,66102
267,66249
268,66383
269,66358
270,64816
271,64999
272,66345
273,66396
274,66466
275,68038
276,68056
277,68084
278,68129
279,68151
280,62140
281,62341
282,64055
283,66171
284,68964
285,63518
286,65375
287,65404
288,65418
289,65468
290,65504
291,65554
292,65493
293,65283
294,68378
295,48481
296,48516
297,48619
298,48658
299,48495
300,48646
301,45479
302,46895
303,47347
304,44426
305,45905
306,45889
307,45987
308,45955
309,46106
310,48488
311,40469
312,43935
313,46956
314,46925
315,47107
316,47118
317,46983
318,47079
319,50521
320,53079
321,44268
322,39347
323,35711
324,28214
325,28242
326,27503
327,19923
328,20007
329,19977
330,20026
331,20069
332,16851
333,17073
334,16945
335,17088
336,1806
337,4412
338,8011
339,9617
340,12063
341,12215
342,11493
343,11530
344,11638
345,11672
346,11685
347,8441
348,7690
349,7646
350,4412
351,4461
352,4541
353,4631
354,4582
355,4224
356,4664
357,341
358,261
359,440
360,3830
361,324
362,3667
363,4386
364,3428
365,7717
366,7663
367,7742
368,7731
369,7800
370,5756
371,4325
372,4340
373,4369
374,4411
375,4465
376,4500
377,4423
378,4610
379,4303
380,3802
381,3341
382,3625
383,3850
384,7004
385,3399
386,6511
387,3258
388,4501
389,7084
390,6803
391,7905
392,7981
393,7992
394,8047
395,4444
396,7318
397,7673
398,7751
399,7739
400,7780
401,7808
402,7794
403,8691
404,5818
405,3516
406,310
407,4928
408,4678
409,8276
410,10058
411,13127
412,13061
413,16444
414,15590
415,15636
416,15704
417,3955
418,15693
419,8170
420,11731
421,10240
422,6215
423,5614
424,4097
425,14074
426,13330
427,19964
428,20043
429,20209
