Packet Number,Ingress Prossessing Duration
1,6388
2,6404
3,6961
4,6778
5,7132
6,11041
7,11027
8,11067
9,11615
10,11823
11,11078
12,11835
13,18703
14,19135
15,18750
16,19312
17,18111
18,18133
19,21542
20,29831
21,22082
22,30035
23,36926
24,36954
25,37050
26,36996
27,37390
28,46958
29,46977
30,49651
31,49771
32,49783
33,49681
34,49806
35,49842
36,56916
37,56954
38,57023
39,56977
40,53640
41,56943
42,56990
43,56966
44,66325
45,66397
46,66609
47,66622
48,75538
49,75599
50,75624
51,75612
52,75663
53,75651
54,80933
55,80903
56,80970
57,80959
58,80947
59,81003
60,81014
61,80992
62,90629
63,90741
64,90804
65,90780
66,99338
67,99379
68,99495
69,99482
70,99541
71,60551
72,60587
73,60632
74,60706
75,60720
76,43533
77,43554
78,43755
79,43640
80,43735
81,10935
82,7673
83,13802
84,12875
85,17092
86,20014
87,32734
88,23257
89,41310
90,56380
91,59332
92,53565
93,54238
94,59016
95,63095
96,82346
97,78801
98,71601
99,62408
100,75314
101,61777
102,82361
103,65717
104,75391
105,87284
106,93986
107,93759
108,89550
109,85160
110,103312
111,112241
112,114081
113,103650
114,107210
115,110730
116,103309
117,106717
118,99011
119,90551
120,76687
121,77550
122,67091
123,74239
124,77133
125,77309
126,77371
127,77680
128,77666
129,77389
130,79673
131,79807
132,80034
133,79644
134,79720
135,79837
136,79825
137,79849
138,84645
139,79689
140,83492
141,75599
142,71766
143,71533
144,71560
145,71703
146,71630
147,71588
148,71692
149,71674
150,73364
151,73336
152,73389
153,73531
154,71218
155,73423
156,74273
157,74224
158,74404
159,74640
160,74573
161,74259
162,74548
163,74245
164,74663
165,74468
166,74652
167,85003
168,87580
169,83628
170,68205
171,57927
172,58055
173,57991
174,58109
175,58066
176,58552
177,58079
178,54898
179,56342
180,54301
181,58022
182,52489
183,37923
184,32098
185,27735
186,32071
187,32126
188,32228
189,32304
190,32367
191,32409
192,32289
193,32357
194,32378
195,33632
196,32388
197,24765
198,24814
199,24868
200,24800
201,24851
202,24910
203,24748
204,24828
205,24839
206,24899
207,26078
208,26153
209,26061
210,26106
211,26127
212,26838
213,26813
214,26862
215,30252
216,34042
217,4971
218,6653
219,6734
220,6775
221,6797
222,8844
223,14022
224,3769
225,7375
226,7462
227,7548
228,7394
229,7528
230,7473
231,7559
232,7644
233,3420
234,3323
235,3353
236,3344
237,3360
238,5387
239,10910
240,17154
241,20937
242,27217
243,27400
244,27489
245,27262
246,27440
247,27421
248,27512
249,30735
250,27580
251,27772
252,27796
253,23159
254,23293
255,17539
256,13910
257,18990
258,19279
259,19334
260,19366
261,19449
262,19312
263,19420
264,21415
265,21671
266,21828
267,21755
268,21850
269,21647
270,21805
271,18926
272,22933
273,10515
274,10827
275,10796
276,11258
277,11519
278,11320
279,10052
280,9599
281,15103
282,13129
283,13056
284,13391
285,13221
286,13539
287,13567
288,13194
289,13511
290,18413
291,20958
292,8404
293,8096
294,5283
295,5226
296,6972
297,13153
298,8810
299,12940
300,12958
301,12996
302,13091
303,13126
304,13021
305,13109
306,18361
307,23815
308,26968
309,28848
310,28882
311,28820
312,28800
313,28931
314,29001
315,28902
316,28985
317,23194
318,21530
319,13438
320,11153
321,12413
322,12517
323,12598
324,12635
325,12580
326,12651
327,12670
328,16123
329,16197
330,16056
331,16081
332,16213
333,16101
334,16175
335,16252
336,16159
337,16232
338,9886
339,8061
340,7963
341,8139
342,8095
343,8267
344,8194
345,13084
346,5353
347,5883
348,10715
349,4738
350,4757
351,4849
352,4934
353,4835
354,4923
355,9026
356,4904
357,5708
358,3355
359,3272
360,3323
361,3306
362,4399
363,8576
364,9764
365,17067
366,19210
367,19302
368,19395
369,19291
370,19365
371,19280
372,19353
373,24949
374,26508
375,30949
376,34098
377,34251
378,34130
379,34223
380,34295
381,34156
382,34239
383,34348
384,23760
385,22053
386,12646
387,7837
388,11166
389,11245
390,11191
391,11361
392,11282
393,11385
394,11228
395,11309
396,16324
397,16467
398,16453
399,16504
400,16553
401,16481
402,16531
403,16542
404,20228
405,19419
406,15132
407,7599
408,7582
409,8239
410,8299
411,8560
412,8665
413,7994
414,8537
415,8797
416,4273
417,8211
418,10153
419,8664
420,9136
421,9571
422,9718
423,9756
424,10230
425,10639
426,10655
427,10818
428,10833
429,10846
430,14526
431,14372
432,9707
433,9976
434,13448
435,13986
436,14736
437,15160
438,28745
439,35784
440,36398
441,35344
442,41612
443,41999
444,42892
445,43238
446,40931
447,41287
448,41589
449,46832
450,47281
451,47667
452,50993
453,51403
454,51986
455,52335
456,52491
457,60083
458,67442
459,67434
460,75568
461,80160
462,80532
463,80894
464,81102
465,81282
466,85903
467,86555
468,93064
469,93354
470,105789
471,106059
472,109477
473,109864
474,110306
475,115501
476,115742
477,115826
478,116312
479,117346
480,126478
481,128236
482,123859
483,125535
484,126033
485,122931
486,123185
487,123873
488,124074
489,124249
490,124578
491,125018
492,123937
493,124760
494,124098
495,124235
496,124297
497,124365
498,124444
499,118484
500,118291
501,118348
502,118417
503,127128
504,127706
505,128174
506,129500
507,129987
508,130374
509,126758
510,127881
511,125288
512,127244
513,127566
514,128196
515,129440
516,5443
517,11813
518,24981
519,24891
520,27454
521,28042
522,18384
523,18593
524,18808
525,24069
526,24616
527,25181
528,38319
529,38545
530,48744
531,51028
532,51276
533,51827
534,52090
535,52440
536,54546
537,55275
538,55401
539,55567
540,63086
541,63477
542,64293
543,63787
544,64181
545,64746
546,64990
547,71020
548,81357
549,81464
550,88936
551,96583
552,96701
553,97342
554,97600
555,96638
556,96874
557,96226
558,96749
559,97593
560,97832
561,103694
562,104006
563,111428
564,113611
565,114509
566,114942
567,114329
568,114978
569,115668
570,116251
571,116445
572,125357
573,126212
574,126508
575,126749
576,127603
577,128185
578,128583
579,6311
580,11225
581,12712
582,20350
583,19713
584,22593
585,23488
586,23679
587,23507
588,28975
589,30891
590,29893
591,28805
592,34883
593,45718
594,61196
595,63516
596,63680
597,63394
598,72300
599,69693
600,77778
601,77329
602,78673
603,78466
604,78301
605,78478
606,78632
607,78763
608,79875
609,79959
610,80023
611,78351
612,79717
613,74431
614,82232
615,89154
616,95521
617,94932
618,95238
619,95276
620,102525
621,109367
622,107547
623,110580
624,112749
625,112905
626,116141
627,116398
628,116457
629,114027
630,114357
631,114481
632,114677
633,114823
634,114999
635,115166
636,114418
637,113958
638,114086
639,113434
640,112828
641,113010
642,113098
643,113221
644,113244
645,113308
646,114166
647,114486
648,113827
649,118275
650,118065
651,117669
652,121007
653,123998
654,124189
655,119566
656,122783
657,126052
658,125931
659,125223
660,122658
661,122979
662,123775
663,123911
664,124146
665,127351
666,129610
667,129793
668,1374
669,1579
670,1663
671,794
672,275
673,921
674,1156
675,1120
676,1396
677,3745
678,6968
679,7176
680,7381
681,7603
682,7800
683,7976
684,11186
685,11418
686,14481
687,11520
688,18256
689,21426
690,21641
691,24726
692,27980
693,28185
694,27558
695,27821
696,28126
697,28292
698,28499
699,28215
700,28180
701,28355
702,28521
703,28589
704,29262
705,29386
706,27916
707,28190
708,28797
709,29503
710,33104
711,35265
712,38774
713,39142
714,39462
715,39801
716,43471
717,48619
718,49680
719,50072
720,52962
721,54233
722,60924
723,65190
724,68786
725,68366
726,68691
727,69078
728,69388
729,69637
730,69935
731,70224
732,70580
733,70429
734,68102
735,69475
736,69834
737,73190
