Packet Number,Ingress Prossessing Duration
1,95941717
2,95956443
3,96034280
4,96050723
5,96067262
6,96116384
7,226819
8,96172769
9,219564
10,96186761
11,96194583
12,96194921
13,31214
14,183299
15,70997
16,96257932
17,227867
18,227281
19,96305776
20,96334255
21,224751
22,96384393
23,217597
24,202838
25,192947
26,211698
27,230647
28,221830
29,96424543
30,26851
31,217451
32,96442889
33,61566
34,213937
35,96480628
36,96486411
37,211772
38,96522572
39,234152
40,96531678
41,232644
42,231626
43,96589192
44,99651
45,96593005
46,96600134
47,221017
48,210645
49,195691
50,218333
51,219405
52,214148
53,16187
54,160800
55,167462
56,62037
57,221610
58,221503
59,59642
60,150930
61,203602
62,221523
63,220770
64,220246
65,219813
66,100070
67,234233
68,217044
69,219152
70,207076
71,215261
72,221462
73,21981
74,167966
75,176817
76,58007
77,236058
78,219514
79,230355
80,62227
81,219024
82,221506
83,152731
84,230575
85,219796
86,102376
87,251074
88,233133
89,229517
90,231383
91,209114
92,232129
93,233320
94,6442
95,172617
96,164452
97,48705
98,210171
99,229265
100,69005
101,146215
102,231089
103,232001
104,230311
105,206292
106,223824
107,101504
108,200386
109,211353
110,215564
111,210288
112,221185
113,223212
114,11605
115,176500
116,168534
117,56429
118,218677
119,1013694
120,221629
121,213683
122,70985
123,1014504
124,148992
125,229981
126,232331
127,225425
128,1014248
129,1010196
130,225272
131,229473
132,94997
133,228348
134,216438
135,165541
136,257098
137,263028
138,52955
139,168456
140,200151
141,64855
142,218659
143,247048
144,224466
145,1012295
146,1020854
147,61195
148,146591
149,214939
150,223948
151,223288
152,216612
153,97699035
154,843
155,329
156,298
157,453
158,824
159,225270
160,1566
161,697
162,483
163,638
164,1582
165,435
166,5572
167,11
168,26
169,20
170,2167
171,86
172,58
173,90963
174,3443
175,29
176,444
177,878
178,247
179,638
180,97721308
181,2680
182,2906
183,1898
184,7324
185,6623
186,680
187,443
188,216
189,2567
190,2334
191,424
192,427
193,222
194,1671
195,1444
196,1410
197,1509
198,527
199,214
200,1819
201,1609
202,434
203,421
204,1085
205,233936
206,177816
207,2797
208,168829
209,3233
210,770
211,2293
212,1833
213,2160
214,1099
215,769
216,417
217,424
218,3194
219,4985
220,4336
221,2547
222,433
223,818
224,819
225,423
226,410
227,425
228,428
229,410
230,197422
231,3661
232,5557
233,2318
234,22734
235,630
236,624
237,431
238,824
239,1537
240,1294
241,735
242,590
243,419
244,3738
245,3759
246,421
247,415
248,429
249,412
250,406
251,392
252,413
253,1277
254,1262
255,418
256,410
257,413
258,420
259,420
260,444
261,450
262,425
263,1590
264,1807
265,813
266,731
267,706
268,739
269,731
270,744
271,728
272,670
273,3216
274,2909
275,357
276,698
277,727
278,384
279,2346
280,2378
281,80
282,359
283,355
284,161476
285,746
286,755
287,380
288,698
289,2734
290,2414
291,392
292,732
293,412
294,399
295,2251
296,1923
297,43
298,44
299,377
300,728
301,401
302,39
303,206061
304,715
305,297882
306,5401
307,4720
308,36
309,57137
310,59
311,58
312,408
313,416
314,447
315,779
316,1071
317,1070
318,725
319,715
320,698
321,690
322,4344
323,4358
324,686
325,855
326,853
327,674
328,3490
329,225493
330,2380
331,2698
332,688
333,686
334,690
335,706
336,693
337,676
338,689
339,681
340,4767
341,4823
342,736
343,714
344,714
345,4272
346,3954
347,414
348,728
349,682
350,755
351,761
352,694
353,792
354,788
355,716
356,728
357,703
358,3762
359,3761
360,676
361,382
362,1062
363,716
364,739
365,245447
366,1448
367,97840290
368,1792
369,702
370,665
371,5808
372,4794
373,51
374,36
375,4510
376,405
377,612
378,225
379,1034
380,427
381,1086
382,418
383,844
384,625
385,624
386,610
387,619
388,436
389,462
390,456
391,634
392,611
393,609
394,4483
395,4296
396,4103
397,49
398,258
399,455
400,639
401,625
402,625
403,622
404,615
405,603
406,607
407,4635
408,4670
409,4672
410,642
411,657
412,655
413,658
414,8939
415,8745
416,8792
417,478
418,676
419,638
420,642
421,637
422,626
423,222345
424,840
425,838
426,844
427,615
428,609
429,625
430,624
431,634
432,613
433,613
434,3996
435,4020
436,4035
437,444
438,430
439,1077
440,614
441,619
442,2763
443,2785
444,2787
445,658
446,646
447,647
448,635
449,324342
450,834
451,3856
452,3870
453,3662
454,635
455,224642
456,4049
457,4058
458,4065
459,646
460,633
461,629
462,617
463,610
464,2638
465,2655
466,2668
467,637
468,626
469,623
470,624
471,614
472,609
473,3659
474,3695
475,3727
476,697
477,111341
478,990
479,182331
480,1476
481,1461
482,259208
483,1351
484,837
485,858
486,2013
487,1824
488,2362
489,1021
490,1620
491,1310
492,1591
493,1521
494,1661
495,1485
496,1494
497,1766
498,1747
499,2023
500,1388
501,1300
502,1348
503,1342
504,1577
505,1229
506,1578
507,1554
508,1613
509,1857
510,1647
511,1758
512,933
513,212
514,565
515,1964
516,733
517,215
518,2572
519,1010
520,871
521,946
522,937
523,3574
524,1380
525,97921708
526,749
527,2403
528,2393
529,1825
530,1971
531,2082
532,2114
533,1734
534,1864
535,1344
536,2262
537,2072
538,1763
539,490
540,967
541,1288
542,2944
543,1893
544,1853
545,1650
546,1354
547,3021
548,2636
549,683
550,229612
551,1286
552,1467
553,3854
554,1663
555,1023
556,1837
557,1860
558,1869
559,1868
560,864
561,844
562,418
563,2055
564,2702
565,2507
566,97938813
567,1903
568,77
569,75
570,3567
571,42685
572,3606
573,3606
574,3593
575,4092
576,605
577,568
578,566
579,984
580,486
581,719
582,929
583,1411
584,1387
585,2062
586,2048
587,2807
588,2540
589,2363
590,2727
591,2513
592,1966
593,1994
594,1778
595,731
596,924
597,696
598,1868
599,2118
600,2327
601,2666
602,2474
603,1906
604,1665
605,1535
606,1316
607,1525
