Packet Number,Ingress Prossessing Duration
1,6372
2,6486
3,6461
4,6558
5,10544
6,10528
7,10558
8,11150
9,11184
10,11198
11,20880
12,21121
13,20865
14,20915
15,21303
16,20927
17,21461
18,21616
19,27516
20,27549
21,27534
22,31156
23,31207
24,31184
25,31136
26,31195
27,31090
28,31173
29,45346
30,45478
31,45318
32,45453
33,45546
34,55406
35,59095
36,59157
37,59123
38,59189
39,55432
40,59112
41,59081
42,59135
43,59169
44,61574
45,61516
46,61809
47,61786
48,61630
49,61831
50,72293
51,72432
52,72335
53,72660
54,72794
55,72625
56,72759
57,84426
58,84539
59,84571
60,84582
61,88942
62,88928
63,88911
64,89134
65,89147
66,88966
67,89122
68,89169
69,89158
70,96694
71,96904
72,96914
73,96927
74,96938
75,104100
76,104117
77,104195
78,104216
79,104227
80,49472
81,49489
82,49517
83,49601
84,49571
85,49623
86,49581
87,49646
88,45811
89,45782
90,45857
91,45887
92,45937
93,45925
94,11892
95,8013
96,7624
97,9351
98,12186
99,3355
100,6896
101,15835
102,13829
103,8560
104,10446
105,8690
106,16611
107,16457
108,5208
109,5935
110,8480
111,10720
112,13423
113,5243
114,3507
115,3507
116,3457
117,3502
118,3896
119,3398
120,3487
121,4796
122,3336
123,3877
124,7138
125,7414
126,9317
127,11943
128,12982
129,3391
130,3472
131,3394
132,6746
133,3358
134,3301
135,3404
136,3989
137,3278
138,3869
139,3410
140,7167
141,10437
142,13696
143,11195
144,3349
145,3368
146,3390
147,3326
148,3379
149,3361
150,3367
151,3337
152,3326
153,3296
154,3918
155,4327
156,7618
157,10406
158,3415
159,3348
160,3398
161,3441
162,3405
163,3391
164,3452
165,4844
166,3330
167,3204
168,3387
169,3841
170,7143
171,10479
172,10174
173,3350
174,3324
175,3292
176,3337
177,3352
178,3266
179,3332
180,3290
181,3318
182,3747
183,3874
184,7225
185,10141
186,11159
187,6659
188,3238
189,3420
190,3429
191,3490
192,4664
193,3567
194,3581
195,3717
196,6004
197,5746
198,8580
199,15241
200,11431
201,15548
202,17174
203,7303
204,5411
205,5467
