Packet Number,Ingress Prossessing Duration
1,22021
2,26280
3,25379
4,28403
5,28259
6,20051
7,26979
8,45449
9,61841
10,4008
11,20783
12,39744
13,45024
14,54326
15,60248
16,19054
17,33654
18,48633
19,51576
20,43227
21,64121
22,31465
23,38582
24,36511
25,43580
26,46817
27,55815
28,54845
29,54051
30,61849
31,64017
32,62607
33,56288
34,53116
35,53734
36,54356
37,60202
38,35348
39,38497
40,42501
41,45668
42,20408
43,10265
44,15960
45,20173
46,19677
47,21587
48,21229
49,24647
50,31230
51,39935
52,44047
53,45372
54,39400
55,45654
56,27289
57,27312
58,27506
59,27370
60,27358
61,27563
62,27543
63,35585
64,41761
65,34394
66,34352
67,34433
68,34462
69,34863
70,34643
71,42308
72,39180
73,39117
74,39250
75,39473
76,39507
77,39311
78,39739
79,39605
80,52450
81,59865
82,39760
83,39783
84,34208
85,39969
86,35617
87,39989
88,34926
89,36274
90,34397
91,33806
92,34597
93,35666
94,64393
95,13163
96,20013
97,19111
98,53334
99,43839
100,48441
101,37300
102,37323
103,37342
104,37548
105,37382
106,37496
107,37603
108,37641
109,37623
110,34627
111,49154
112,6161
113,36172
114,51238
115,257
116,59707
117,59340
118,63796
119,56909
120,57315
121,57556
122,57755
123,57119
124,58461
125,58485
126,58871
127,57964
128,58678
129,3832
130,61352
131,58479
132,63296
133,64046
134,43613
135,43655
136,43631
137,43691
138,44415
139,43750
140,43705
141,43984
142,44625
143,44830
144,55668
145,201
146,9357
147,4478
148,4429
149,4463
150,4545
151,4451
152,4568
153,4638
154,364
155,428
156,497
157,59823
158,4580
159,1670
160,469
161,455
162,376
163,733
164,63636
165,60357
166,442
167,511
168,60043
169,60241
170,63434
171,63420
172,64982
173,47008
174,42671
175,52151
176,32186
177,40732
178,49424
179,60372
180,9445
181,17153
182,23025
183,16429
184,17548
185,8192
186,13393
187,6579
188,6596
189,6711
190,6887
191,6850
192,6929
193,6874
194,6902
195,1945
196,6970
197,64936
198,1569
199,53025
200,53051
201,53101
202,53328
203,53383
204,53438
205,53418
206,60407
207,90
208,6182
209,60102
210,54722
211,54745
212,54962
213,55006
214,54978
215,54993
216,55021
217,55047
218,55034
219,41790
220,46146
221,37110
222,37212
223,37131
224,37149
225,37228
226,45314
227,46940
228,46923
229,51832
230,46894
231,43672
232,46911
233,46966
234,47022
235,43645
236,43701
237,43750
238,46952
239,47011
240,43726
241,46978
242,43633
243,43686
244,43738
245,43657
246,43715
247,43765
248,28532
249,40519
250,43195
251,51744
252,57284
253,45924
254,41458
255,43527
256,50905
257,56568
258,39586
259,44793
260,34691
261,34709
262,34826
263,34968
264,34895
265,34996
266,34796
267,34984
268,38289
269,26618
270,27138
271,27340
272,26911
273,28812
274,28557
275,44465
276,26898
277,27837
278,29012
