Packet Number,Ingress Prossessing Duration
1,7147
2,7572
3,7586
4,7556
5,8085
6,7916
7,7752
8,8115
9,15230
10,15261
11,15658
12,15275
13,15857
14,16056
15,23037
16,23253
17,23665
18,23717
19,24060
20,23681
21,24227
22,23497
23,23884
24,29770
25,29832
26,29877
27,29788
28,29843
29,30083
30,29816
31,29802
32,29855
33,30251
34,29866
35,44664
36,44682
37,48382
38,48454
39,48338
40,48430
41,60078
42,60175
43,60231
44,60292
45,60135
46,60220
47,60112
48,60200
49,60313
50,70629
51,70725
52,70748
53,70847
54,71419
55,70692
56,70665
57,70779
58,70817
59,71451
60,78675
61,78653
62,78744
63,78721
64,78768
65,85476
66,85494
67,85530
68,85662
69,85616
70,93163
71,93230
72,93370
73,93400
74,93436
75,93411
76,98641
77,98664
78,98698
79,98765
80,104309
81,104401
82,104411
83,104424
84,104521
85,111532
86,111519
87,111505
88,111594
89,111559
90,111629
91,111607
92,113567
93,113649
94,113661
95,113715
96,113672
97,113726
98,3584
99,8883
100,17255
101,4199
102,11249
103,6808
104,12601
105,3571
106,14930
107,8759
108,3506
109,10677
110,24986
111,20664
112,11403
113,7079
114,16923
115,21294
116,4656
117,8177
118,10050
119,8819
120,9799
121,4167
122,8145
123,3586
124,3581
125,4762
126,4216
127,3622
128,3498
129,3746
130,6569
131,6291
132,9372
133,3592
134,3559
135,3624
136,3527
137,6851
138,4048
139,3522
140,3537
141,3452
142,3483
143,3534
144,3617
145,3536
146,4462
147,6420
148,3569
149,3583
150,3449
151,3489
152,3458
153,3495
154,3404
155,3469
156,3430
157,3521
158,3464
159,3552
160,3540
161,5836
162,7185
163,3502
164,3530
165,3539
166,3448
167,6924
168,3686
169,3732
170,3508
171,3557
172,3505
173,3466
174,3527
175,3676
176,7035
177,6918
178,3514
179,3661
180,6793
181,8170
182,5123
183,3629
184,3517
185,3502
186,3556
187,4172
188,4190
189,4612
190,4154
191,11531
192,9000
193,3603
194,3507
195,7103
196,3464
197,4029
198,8126
199,11118
200,3470
201,3510
202,3555
203,3366
204,3627
205,3588
206,3508
207,6872
208,3732
209,3662
210,3671
211,6840
212,3481
213,4302
214,3520
215,3646
216,3534
217,3510
218,3465
219,3622
220,5978
221,3453
222,6597
223,3564
224,3608
225,3593
226,3632
227,6284
228,5713
229,3506
230,3584
231,3541
232,3909
233,7038
234,3585
235,6292
236,12539
237,23803
238,9785
239,6539
240,6047
241,6037
242,10123
243,10859
244,6073
245,3730
246,3506
247,3483
248,6833
249,3665
250,3638
251,3668
252,6850
253,3605
254,3652
255,6356
256,6349
257,9449
258,3601
259,7677
260,4742
261,5481
262,7276
263,10212
264,7062
265,10508
266,13779
267,20004
268,3623
269,4934
270,9302
271,3625
272,3611
273,6982
274,3738
275,3561
276,3447
277,3532
278,6386
279,3475
280,3434
281,4260
282,3458
283,5097
284,8383
285,3565
286,3592
287,3638
288,7019
289,3678
290,6819
291,3525
292,3614
293,5663
294,3552
295,3575
296,4409
297,3539
298,5213
299,8443
300,3710
301,3682
302,3744
303,7228
304,3602
305,3572
306,3748
307,3716
308,3666
309,3551
310,3601
311,4365
312,3501
313,5201
314,8651
315,3741
316,3682
317,3711
318,3659
319,3709
320,3626
321,3694
322,3669
323,6955
324,7045
325,5492
326,3738
327,3554
328,6502
329,6251
330,3613
331,4227
332,6323
333,4233
334,4212
335,3555
336,7044
337,8357
338,3513
339,3555
340,4244
341,8249
342,3646
343,3562
344,6129
345,6418
346,4485
347,3605
348,6710
349,7949
350,3630
351,3542
352,3519
353,3533
354,3494
355,3484
356,3487
357,3494
358,3538
359,3549
360,6774
361,6810
362,8645
363,3456
364,3535
365,3644
366,3570
367,3500
368,3578
369,3541
370,3649
371,3561
372,3484
373,3458
374,3769
375,6591
376,9541
377,3542
378,3561
379,3613
380,3680
381,3579
382,3521
383,3467
384,3403
385,3583
386,3496
387,3569
388,3583
389,6019
390,3502
391,6719
392,6700
393,9428
394,3474
395,5560
396,3485
397,9151
398,3346
399,4421
400,3395
401,4437
402,3843
403,3497
404,3458
405,5309
406,7783
407,10003
408,4609
409,6086
410,9680
411,6920
412,7868
413,3613
414,7403
415,4328
416,8508
417,3635
418,3564
419,3587
420,3446
421,6171
422,4420
423,3615
424,4423
425,7384
426,10475
427,12145
428,13727
429,3456
430,3625
431,6656
432,6130
433,6193
434,3598
435,4151
436,3570
437,3680
438,3582
439,6687
440,9969
441,12625
442,11814
443,15389
444,3489
445,3515
446,3603
447,4509
448,3482
449,4407
450,3477
451,3483
452,6242
453,7924
454,11412
455,10563
456,13892
457,13300
458,13453
459,3397
460,3419
461,3390
462,3536
463,3441
464,3443
465,3490
466,3422
467,3530
468,7056
469,10745
470,5087
471,5916
472,8816
473,9055
474,3464
475,3408
476,3415
477,4177
478,7359
479,4141
480,3516
481,4302
482,6449
483,3492
484,4119
485,4290
486,6993
487,3738
488,3511
489,3437
490,3492
491,5571
492,3451
493,6554
494,5230
495,3329
496,3335
497,3346
498,3821
499,4662
500,3441
501,3417
502,3541
503,3441
504,5906
505,3881
506,3374
507,3400
508,3347
509,6732
510,6192
511,4711
512,8134
513,3555
514,3437
515,3738
516,3343
517,3412
518,3459
519,5821
520,7139
521,5960
522,6174
523,9812
524,10547
525,3387
526,3583
527,6497
528,3567
529,5459
530,3344
531,3424
532,3476
533,3531
534,3464
535,4131
536,3429
537,3467
538,6181
539,7048
540,3498
541,5734
542,5738
543,3513
544,3477
545,3308
546,3491
547,4111
548,4533
549,3683
550,5237
551,3744
552,6701
553,4179
554,4434
555,3617
556,3456
557,5756
558,6598
559,9231
560,4165
561,3449
562,3359
563,3351
564,3487
565,3437
566,3440
567,3402
568,3453
569,3347
570,6803
571,3353
572,3361
573,3293
574,3368
575,3367
576,3423
577,3368
578,3410
579,7240
580,5769
581,5939
582,6107
583,3597
584,3556
585,3392
586,5497
587,3365
588,3356
589,3388
590,3654
591,3426
592,3416
593,6638
594,3487
595,3373
596,3372
597,3345
598,3426
599,3343
600,6570
601,9081
602,5555
603,3384
604,3356
605,3363
606,3427
607,3380
608,6763
609,3425
610,3723
611,3447
612,3604
613,3345
614,3399
615,4970
616,4443
617,3360
618,3671
619,3370
620,3426
621,4192
622,8089
623,4015
624,3474
625,3369
626,3598
627,6250
628,4102
629,3460
630,4098
631,3426
632,3503
633,3418
634,3413
635,5727
636,8196
637,3352
638,5521
639,3401
640,3425
641,3419
642,3356
643,3319
644,6557
645,3383
646,3410
647,3363
648,3566
649,3340
650,6577
651,9348
652,10091
653,3409
654,3393
655,3594
656,3585
657,3495
658,6833
659,3397
660,3486
661,3493
662,3549
663,3550
664,3447
665,3706
666,3470
667,6460
668,3384
669,4318
670,3351
671,3343
672,3407
673,3408
674,3402
675,3353
676,3471
677,3516
678,3446
679,3521
680,5971
681,4864
682,3464
683,3405
684,6432
685,3322
686,3591
687,3511
688,3449
689,3660
690,3570
691,4482
692,8478
693,3918
694,4047
695,3644
696,4206
697,3540
698,6610
699,11186
700,14254
701,16976
702,12001
703,13104
704,7708
705,3279
706,3505
707,3373
708,3492
709,3375
710,3411
711,3396
712,3380
713,3419
714,5969
715,6010
716,6771
717,3397
718,3361
719,3429
720,3414
721,3566
722,3418
723,3500
724,6671
725,3301
726,3385
727,3511
728,3406
729,3491
730,3424
731,3570
732,3819
733,3513
734,3628
735,6051
736,9278
737,6220
738,6037
739,8221
740,3552
741,3473
742,3493
743,3443
744,3342
745,3359
746,3502
747,3459
748,3301
749,3473
750,3542
751,6803
752,3447
753,3609
754,3483
755,3412
756,3568
757,3502
758,3415
759,3344
760,3475
761,4483
762,5499
763,9613
764,8543
765,13624
766,3956
767,3454
768,7821
769,6358
770,9740
771,5031
772,3968
773,3386
774,6911
775,8543
776,3339
777,3423
778,3383
779,3413
780,3436
781,3399
782,3719
783,3381
784,3351
785,3479
786,3378
787,3337
788,3441
789,3354
790,3283
791,3436
792,3499
793,6951
794,3426
795,3661
796,3478
797,5815
798,3508
799,3565
800,3464
801,3607
802,3811
803,3412
804,3390
805,3526
806,3323
807,3403
808,3443
809,3447
810,3514
811,3336
812,3430
813,3444
814,3426
815,3312
816,6195
817,3346
818,5975
819,3438
820,3296
821,3322
822,3362
823,6625
824,3707
825,3513
826,7042
827,3322
828,3407
829,3421
830,3930
831,7153
832,3504
833,3515
834,4245
835,3411
836,4114
837,3504
838,3470
839,4412
840,3393
841,3386
842,5851
843,3466
844,3414
845,6229
846,8659
847,4123
848,6707
849,3437
850,3465
851,3436
852,3527
853,3432
854,3451
855,3531
856,3445
857,3529
858,5257
859,6363
860,3274
861,3366
862,3399
863,3439
864,3351
865,3488
866,3326
867,6729
868,3365
869,3460
870,3712
871,3477
872,3687
873,4805
874,3769
875,4802
876,8047
877,3626
878,3435
879,3436
880,3399
881,3453
882,6710
883,3383
884,3437
885,3385
886,3372
887,3373
888,3498
889,6914
890,10205
891,10978
892,3525
893,3562
894,3490
895,3785
896,4017
897,5106
898,3482
899,3620
900,3569
901,6935
902,3488
903,3611
904,3474
905,6772
906,3352
907,3407
908,4038
909,4016
910,4057
911,7044
912,11968
913,10506
914,9959
915,3339
916,3372
917,4949
918,7311
919,3553
920,3402
921,3390
922,3474
923,3386
924,3365
925,3467
926,6629
927,4890
928,3387
929,3486
930,3385
931,6628
932,3478
933,6363
934,3471
935,3422
936,3485
937,3486
938,3625
939,3625
940,3657
941,6123
942,3479
943,3435
944,3498
945,3380
946,3785
947,4718
948,7817
949,3855
950,3312
951,3374
952,3417
953,3405
954,3404
955,3431
956,3375
957,3427
958,3383
959,3470
960,6127
961,4551
962,5836
963,7336
964,3931
965,3375
966,3578
967,3387
968,3465
969,3454
970,3414
971,3675
972,3514
973,3486
974,3421
975,3545
976,3823
977,7806
978,11908
979,14651
980,7770
981,3676
982,4304
983,4133
984,7080
985,5360
986,3481
987,8196
988,3493
989,4345
990,3551
991,3455
992,6889
993,3415
994,3526
995,3445
996,3418
997,3425
998,3536
999,3483
1000,3648
1001,3686
1002,3381
1003,3649
1004,3594
1005,3729
1006,3752
1007,3554
1008,3595
1009,3506
1010,3480
1011,3461
1012,3621
1013,4880
1014,3468
1015,3344
1016,3421
1017,3431
1018,3387
1019,3806
1020,4747
1021,4583
1022,3835
1023,3556
1024,3467
1025,3519
1026,3422
1027,3676
1028,7151
1029,7471
1030,3632
1031,4183
1032,3488
1033,3449
1034,3648
1035,3501
1036,3610
1037,3531
1038,3581
1039,3474
1040,3558
1041,3634
1042,3532
1043,6784
1044,3559
1045,3537
1046,3412
1047,4187
1048,4207
1049,6894
1050,7223
1051,4202
1052,3559
1053,3620
1054,4468
1055,4322
1056,5581
1057,3568
1058,3685
1059,4353
1060,3443
1061,4137
1062,3624
1063,3447
1064,3482
1065,3382
1066,3509
1067,5654
1068,3486
1069,3397
1070,5887
1071,3515
1072,3516
1073,3501
1074,3457
1075,3444
1076,3477
1077,3603
1078,3662
1079,3739
1080,6953
1081,3741
1082,3553
1083,3518
1084,3630
1085,3954
1086,3992
1087,3495
1088,6596
1089,3562
1090,3538
1091,3596
1092,3601
1093,3596
1094,3529
1095,3625
1096,3481
1097,3527
1098,3585
1099,3538
1100,6995
1101,3471
1102,3517
1103,6966
1104,3657
1105,3581
1106,3619
1107,3735
1108,3738
1109,4009
1110,3800
1111,3604
1112,3605
1113,3663
1114,3544
1115,3380
1116,7147
1117,10001
1118,11455
1119,3556
1120,3589
1121,4344
1122,4557
1123,3574
1124,4240
1125,7592
1126,6480
1127,3705
1128,4282
1129,4239
1130,6739
1131,5675
1132,3602
1133,3552
1134,3459
1135,6887
1136,10397
1137,10347
1138,12762
1139,16374
1140,3895
1141,3788
1142,3501
1143,3512
1144,3548
1145,3575
1146,3543
1147,3539
1148,3688
1149,9176
1150,12302
1151,15609
1152,15690
1153,18701
1154,22042
1155,3464
1156,3404
1157,3574
1158,3514
1159,3529
1160,3519
1161,3542
1162,3590
1163,3470
1164,3489
1165,6596
1166,9718
1167,10195
1168,9631
1169,12576
1170,3612
1171,3709
1172,3465
1173,3613
1174,3607
1175,3837
1176,3987
1177,6324
1178,11658
1179,12034
1180,13705
1181,14359
1182,17751
1183,13554
1184,3405
1185,3464
1186,3629
1187,3475
1188,3440
1189,3577
1190,4409
1191,9601
1192,4152
1193,3451
1194,3519
1195,3534
1196,7115
1197,12027
1198,15275
1199,19201
1200,21652
1201,16620
1202,8314
1203,5108
1204,3990
1205,5921
1206,4070
1207,3498
1208,3416
1209,3546
1210,3571
1211,3584
1212,3818
1213,3674
1214,3509
1215,6923
1216,3496
1217,3406
1218,3489
1219,3471
1220,3411
1221,3462
1222,3450
1223,3486
1224,3611
1225,3493
1226,3521
1227,3442
1228,3488
1229,7536
1230,10455
1231,6292
1232,6371
1233,5492
1234,3704
1235,3504
1236,3294
1237,3543
1238,3580
1239,3543
1240,3731
1241,3413
1242,3695
1243,4638
1244,5809
1245,9339
1246,12608
1247,8958
1248,7872
1249,3581
1250,3600
1251,3451
1252,3342
1253,3362
1254,3447
1255,3445
1256,3435
1257,3553
1258,3619
1259,3632
1260,6776
1261,9925
1262,7000
1263,5228
1264,3707
1265,3631
1266,7456
1267,4091
1268,3636
1269,4279
1270,8363
1271,3432
1272,3524
1273,3481
1274,4143
1275,7459
1276,6352
1277,3455
1278,3510
1279,3535
1280,3391
1281,3497
1282,6722
1283,3591
1284,3522
1285,3541
1286,6130
1287,3741
1288,3901
1289,5256
1290,3604
1291,3717
1292,3532
1293,3604
1294,4924
1295,3491
1296,6654
1297,6244
1298,5010
1299,5077
1300,3610
1301,4277
1302,3665
1303,3624
1304,3660
1305,3614
1306,3466
1307,3460
1308,3823
1309,3907
1310,5054
1311,3759
1312,7562
1313,7782
1314,3717
1315,3440
1316,3530
1317,3734
1318,3849
1319,3895
1320,3800
1321,3879
1322,3649
1323,3789
1324,3847
1325,6574
1326,3492
1327,6931
1328,6855
1329,3473
1330,3565
1331,3537
1332,3563
1333,3585
1334,3607
1335,4324
1336,7362
1337,5179
1338,3730
1339,3445
1340,4305
1341,7546
1342,4135
1343,11356
1344,13628
1345,17049
1346,20193
1347,20434
1348,10225
1349,3511
1350,4229
1351,4271
1352,3589
1353,3636
1354,5592
1355,4498
1356,3447
1357,3455
1358,3444
1359,3645
1360,5664
1361,3557
1362,3592
1363,3940
1364,7353
1365,3611
1366,3544
1367,3594
1368,3547
1369,3540
1370,3491
1371,6503
1372,3464
1373,6319
1374,3484
1375,3483
1376,3646
1377,5517
1378,5417
1379,5364
1380,3601
1381,3560
1382,3585
1383,3583
1384,3513
1385,4251
1386,3442
1387,3537
1388,3572
1389,6427
1390,12657
1391,18882
1392,16816
1393,17615
1394,11390
1395,5992
1396,6151
1397,3688
1398,3572
1399,3593
1400,6534
1401,3534
1402,3608
1403,3550
1404,5966
1405,3520
1406,6633
1407,9868
1408,13144
1409,6260
1410,3656
1411,5118
1412,4316
1413,3575
1414,3465
1415,4246
1416,4258
1417,3998
1418,6205
1419,4035
1420,3431
1421,5854
1422,3412
1423,3625
1424,3480
1425,3470
1426,3416
1427,4547
1428,7395
1429,10729
1430,3480
1431,3510
1432,3483
1433,3548
1434,3465
1435,3643
1436,3939
1437,3688
1438,3551
1439,7038
1440,3483
1441,3518
1442,3523
1443,6389
1444,9955
1445,3510
1446,3535
1447,3516
1448,3490
1449,3437
1450,3531
1451,3437
1452,3543
1453,6230
1454,10016
1455,5467
1456,8289
1457,11785
1458,15043
1459,4618
1460,3520
1461,3535
1462,3557
1463,3505
1464,3567
1465,3529
1466,3439
1467,6694
1468,10114
1469,13009
1470,16275
1471,3547
1472,3529
1473,6494
1474,9719
1475,9791
1476,11872
1477,3500
1478,3532
1479,3532
1480,4183
1481,7409
1482,3561
1483,4168
1484,5431
1485,8764
1486,3496
1487,5686
1488,5448
1489,7017
1490,3491
1491,3632
1492,6708
1493,7894
1494,10885
1495,14227
1496,12044
1497,4254
1498,3512
1499,3463
1500,3581
1501,5942
1502,5815
1503,6587
1504,10052
1505,4697
1506,6914
1507,10084
1508,7960
1509,7219
1510,10770
1511,11090
1512,14083
1513,3569
1514,3632
1515,3571
1516,3583
1517,3648
1518,3711
1519,6856
1520,10447
1521,5374
1522,5393
1523,8043
1524,7916
1525,9065
1526,12312
1527,15744
1528,3608
1529,4992
1530,3412
1531,3636
1532,3695
1533,3606
1534,7136
1535,10599
1536,4403
1537,4533
1538,7475
1539,10715
1540,12107
1541,7664
1542,11133
1543,3604
1544,3550
1545,4014
1546,3510
1547,3492
1548,6982
1549,5583
1550,9648
1551,12428
1552,12330
1553,13085
1554,15776
1555,18209
1556,18110
1557,19245
1558,8492
1559,11314
1560,5314
1561,7700
1562,3645
1563,3612
1564,6383
1565,7402
1566,4153
1567,3593
1568,3631
1569,3491
1570,6642
1571,9255
1572,10088
1573,8199
1574,9114
1575,8150
1576,4269
1577,3569
1578,6904
1579,3507
1580,5796
1581,3611
1582,3647
1583,6690
1584,9871
1585,9725
1586,7730
1587,8015
1588,10597
1589,10805
1590,9599
1591,3570
1592,3604
1593,3512
1594,3654
1595,6394
1596,9883
1597,3757
1598,7243
1599,6575
1600,7198
1601,10649
1602,14069
1603,13726
1604,8924
1605,10571
1606,6437
1607,9177
1608,9284
1609,3689
1610,3527
1611,6832
1612,3527
1613,6853
1614,3457
1615,6505
1616,3587
1617,6268
1618,6130
1619,5743
1620,8756
1621,4296
1622,3800
1623,4278
1624,4512
1625,7574
1626,9183
1627,9775
1628,7014
1629,4343
1630,4084
1631,3707
1632,3706
1633,3640
1634,6970
1635,5381
1636,8347
1637,11684
1638,10945
1639,14334
1640,14536
1641,9905
1642,8529
1643,12127
1644,11288
1645,3672
1646,3581
1647,3547
1648,3664
1649,3677
1650,5865
1651,9065
1652,8024
1653,8958
1654,7033
1655,9156
1656,6548
1657,3567
1658,7034
1659,3566
1660,3832
1661,3821
1662,3664
1663,3727
1664,4019
1665,6981
1666,7330
1667,10512
1668,13883
1669,13028
1670,6939
1671,6524
1672,3517
1673,6830
1674,3543
1675,3616
1676,3631
1677,3580
1678,3614
1679,6939
1680,5004
1681,5600
1682,8987
1683,8151
1684,11064
1685,7479
1686,4149
1687,3726
1688,7793
1689,3624
1690,3661
1691,3482
1692,3455
1693,4692
1694,3675
1695,4332
1696,3849
1697,6534
1698,5553
1699,8988
1700,3713
1701,5266
1702,3515
1703,5099
1704,4212
1705,7292
1706,3553
1707,7031
1708,4283
1709,4276
1710,3600
1711,4757
1712,7355
1713,3603
1714,3616
1715,4993
1716,8456
1717,11906
1718,11117
1719,3573
1720,6561
1721,8847
1722,9658
1723,7938
1724,3413
1725,6010
1726,3761
1727,3421
1728,3504
1729,3776
1730,3648
1731,3642
1732,6776
1733,7190
1734,9771
1735,4552
1736,6437
1737,6272
1738,3369
1739,3387
1740,3797
1741,3488
1742,3451
1743,3452
1744,3485
1745,3550
1746,3593
1747,6687
1748,6741
1749,9165
1750,6072
1751,9270
1752,3706
1753,3524
1754,3474
1755,3507
1756,3385
1757,3947
1758,3774
1759,4167
1760,4726
1761,7275
1762,6050
1763,5863
1764,9146
1765,5220
1766,6152
1767,3619
1768,3502
1769,4181
1770,6250
1771,4144
1772,3580
1773,3537
1774,4826
1775,4052
1776,3567
1777,4055
1778,7092
1779,3600
1780,4874
1781,3373
1782,6145
1783,5533
1784,4451
1785,3379
1786,6521
1787,3461
1788,3572
1789,3544
1790,3359
1791,3419
1792,3417
1793,3401
1794,3343
1795,3390
1796,3328
1797,5995
1798,8542
1799,7586
1800,3401
1801,6854
1802,3363
1803,3333
1804,3472
1805,3332
1806,3395
1807,3444
1808,3496
1809,3614
1810,3396
1811,6039
1812,9156
1813,12139
1814,12952
1815,4411
1816,3347
1817,3440
1818,3393
1819,6368
1820,3421
1821,3483
1822,3433
1823,3482
1824,6991
1825,10165
1826,13334
1827,14025
1828,14315
1829,7627
1830,8401
1831,3694
1832,3461
1833,3502
1834,3943
1835,3425
1836,3513
1837,3540
1838,4081
1839,4089
1840,3496
1841,4436
1842,7277
1843,10599
1844,10442
1845,10389
1846,3601
1847,4025
1848,4106
1849,4315
1850,4178
1851,3551
1852,3430
1853,7064
1854,4798
1855,7151
1856,4112
1857,3484
1858,3560
1859,3572
1860,3670
1861,6508
1862,6715
1863,8452
1864,11197
1865,12325
1866,7324
1867,3302
1868,3589
1869,3597
1870,3520
1871,3484
1872,3714
1873,3577
1874,3588
1875,3426
1876,3369
1877,3538
1878,6668
1879,9079
1880,9870
1881,5990
1882,3727
1883,3567
1884,3656
1885,6632
1886,3643
1887,3790
1888,6559
1889,3622
1890,3573
1891,5956
1892,8507
1893,11578
1894,10165
1895,9003
1896,11949
1897,3505
1898,3507
1899,3595
1900,6202
1901,6065
1902,5719
1903,6705
1904,3702
1905,4233
1906,3761
1907,4842
1908,7858
1909,6694
1910,5539
1911,3487
1912,3496
1913,4287
1914,4605
1915,3688
1916,3686
1917,3624
1918,4434
1919,4161
1920,4262
1921,6282
1922,4316
1923,4243
1924,7192
1925,3558
1926,6531
1927,6049
1928,3479
1929,3606
1930,6485
1931,6239
1932,4267
1933,3490
1934,3558
1935,3660
1936,3569
1937,3716
1938,3577
1939,3615
1940,3649
1941,7563
1942,4058
1943,4209
1944,3664
1945,7262
1946,3601
