Packet Number,Ingress Prossessing Duration
1,95941717
2,14726
3,77837
4,16443
5,16539
6,49122
7,52152
8,4233
9,3238
10,10754
11,7822
12,338
13,12300
14,10358
15,26187
16,14166
17,20658
18,15953
19,11233
20,28479
21,6880
22,43258
23,1740
24,11288
25,2747
26,6113
27,373
28,10097
29,7792
30,2476
31,8011
32,7859
33,16098
34,12882
35,8759
36,5783
37,3951
38,32210
39,6123
40,2983
41,6742
42,34341
43,16431
44,821
45,2992
46,7129
47,7016
48,9776
49,5784
50,2277
51,699
52,5213
53,7998
54,12265
55,2711
56,25090
57,3220
58,20055
59,5676
60,2890
61,30139
62,1079
63,2073
64,8353
65,40559
66,15998
67,1869
68,30509
69,1347
70,2108
71,1135
72,187
73,289
74,21505
75,10816
76,5961
77,16006
78,17504
79,9187
80,5165
81,8404
82,22122
83,409
84,19418
85,45778
86,14572
87,708
88,30435
89,974
90,731
91,847
92,1221
93,1480
94,3741
95,16535
96,5404
97,18746
98,4217
99,12092
100,7192
101,20538
102,5029
103,503
104,18214
105,37039
106,2252
107,17929
108,13519
109,3364
110,2013
111,7156
112,547
113,3902
114,20863
115,11318
116,7266
117,2239
118,860
119,23446
120,4146
121,21710
122,1646
123,20649
124,5555
125,1847
126,11811
127,32
128,14294
129,24812
130,1949
131,12402
132,11002
133,4973
134,2168
135,1204
136,46457
137,6477
138,21
139,1157
140,5839
141,3700
142,14808
143,4083
144,5870
145,5293
146,15688
147,5914
148,11937
149,3048
150,7162
151,12998
152,34411
153,2577
154,843
155,329
156,298
157,453
158,824
159,1385
160,181
161,697
162,483
163,638
164,1582
165,435
166,5572
167,11
168,26
169,20
170,2167
171,86
172,58
173,2742
174,701
175,29
176,444
177,878
178,247
179,638
180,506
181,2174
182,732
183,1166
184,6158
185,465
186,215
187,228
188,216
189,2123
190,211
191,213
192,214
193,222
194,1235
195,209
196,1201
197,308
198,219
199,214
200,1386
201,223
202,211
203,210
204,875
205,223
206,207
207,1492
208,217
209,1094
210,770
211,212
212,1621
213,539
214,560
215,209
216,208
217,216
218,2978
219,2007
220,2329
221,218
222,215
223,603
224,216
225,207
226,203
227,222
228,206
229,204
230,2839
231,618
232,2100
233,218
234,213
235,199
236,212
237,219
238,605
239,932
240,362
241,373
242,217
243,202
244,3536
245,223
246,198
247,217
248,212
249,200
250,206
251,186
252,227
253,1050
254,212
255,206
256,204
257,209
258,211
259,209
260,235
261,215
262,210
263,1380
264,427
265,386
266,345
267,361
268,378
269,353
270,391
271,337
272,333
273,2883
274,26
275,331
276,367
277,360
278,24
279,2322
280,56
281,24
282,335
283,20
284,352
285,374
286,29
287,351
288,347
289,2387
290,27
291,365
292,367
293,45
294,354
295,1897
296,26
297,17
298,27
299,350
300,378
301,23
302,16
303,357
304,342
305,4675
306,27
307,18
308,18
309,17
310,24
311,17
312,391
313,25
314,422
315,357
316,714
317,356
318,369
319,346
320,352
321,338
322,4006
323,352
324,334
325,521
326,332
327,342
328,3148
329,1561
330,791
331,346
332,342
333,344
334,346
335,360
336,333
337,343
338,346
339,335
340,4432
341,391
342,345
343,369
344,345
345,3927
346,27
347,387
348,341
349,341
350,414
351,347
352,347
353,445
354,343
355,373
356,355
357,348
358,3414
359,347
360,329
361,382
362,351
363,365
364,374
365,712
366,362
367,344
368,374
369,328
370,337
371,4425
372,32
373,19
374,17
375,17
376,371
377,224
378,225
379,214
380,213
381,210
382,208
383,213
384,204
385,207
386,199
387,213
388,24
389,225
390,207
391,202
392,202
393,205
394,4076
395,15
396,12
397,22
398,224
399,209
400,206
401,210
402,209
403,203
404,203
405,197
406,207
407,4231
408,232
409,209
410,201
411,247
412,207
413,204
414,8528
415,13
416,251
417,214
418,211
419,213
420,218
421,206
422,202
423,209
424,223
425,204
426,208
427,203
428,198
429,224
430,202
431,208
432,203
433,202
434,3591
435,227
436,217
437,227
438,203
439,203
440,208
441,208
442,2347
443,230
444,210
445,218
446,218
447,211
448,206
449,201
450,216
451,3233
452,220
453,209
454,206
455,211
456,3423
457,218
458,213
459,215
460,205
461,209
462,203
463,198
464,2237
465,220
466,211
467,206
468,209
469,208
470,207
471,199
472,203
473,3257
474,235
475,235
476,227
477,292
478,236
479,241
480,480
481,212
482,207
483,211
484,207
485,233
486,1573
487,18
488,771
489,232
490,617
491,461
492,513
493,547
494,601
495,337
496,556
497,873
498,318
499,832
500,238
501,230
502,880
503,232
504,465
505,532
506,581
507,441
508,591
509,825
510,231
511,702
512,231
513,212
514,565
515,23
516,710
517,215
518,616
519,394
520,477
521,469
522,468
523,225
524,687
525,473
526,276
527,742
528,215
529,592
530,422
531,853
532,247
533,212
534,552
535,333
536,1165
537,22
538,243
539,225
540,499
541,564
542,226
543,604
544,459
545,361
546,1354
547,243
548,219
549,221
550,222
551,624
552,400
553,210
554,207
555,206
556,1214
557,233
558,216
559,205
560,210
561,213
562,205
563,1850
564,19
565,10
566,12
567,12
568,24
569,17
570,3502
571,36
572,15
573,12
574,11
575,516
576,15
577,14
578,10
579,429
580,18
581,248
582,224
583,492
584,405
585,693
586,234
587,983
588,225
589,228
590,1057
591,20
592,436
593,253
594,12
595,10
596,213
597,208
598,1425
599,262
600,219
601,552
602,16
603,857
604,21
605,89
606,333
607,225
608,959
609,230
610,1541
611,225
612,1419
613,224
614,714
615,215
616,224
617,948
618,580
619,215
620,211
621,206
622,1135
623,425
624,1006
625,17
626,218
627,3534
628,527
629,220
630,1277
631,230
632,217
633,443
634,230
635,1069
636,529
637,543
638,506
639,385
640,209
641,215
642,204
643,1539
644,27
645,81
646,524
647,610
648,431
649,599
650,338
651,554
652,528
653,557
654,292
655,679
656,220
657,212
658,204
659,206
660,210
661,201
662,1714
663,105
664,543
665,442
666,531
667,400
668,515
669,567
670,513
671,220
672,692
673,554
674,414
675,408
676,375
677,218
678,205
679,204
680,206
681,200
682,3192
683,238
684,215
685,1240
686,237
687,237
688,522
689,502
690,15
691,380
692,518
693,424
694,426
695,358
696,568
697,632
698,358
699,355
700,802
701,460
702,347
703,514
704,507
705,287
706,649
707,438
708,332
709,606
710,410
711,562
712,259
713,692
714,545
715,1457
716,238
717,225
718,211
719,230
720,610
721,515
722,428
723,16
724,671
725,223
726,593
727,576
728,1455
729,232
730,226
731,14
732,434
733,209
734,480
735,211
736,885
737,643
738,221
739,527
740,3968
741,220
742,222
743,206
744,227
745,207
746,209
747,209
748,203
749,246
750,235
751,214
752,199
753,209
754,224
755,203
756,203
757,202
758,216
759,204
760,204
761,215
762,204
763,1842
764,247
765,612
766,4771
767,419
768,223
769,1217
770,227
771,211
772,208
773,2657
774,217
775,1087
776,238
777,211
778,4779
779,236
780,218
781,207
782,971
783,224
784,220
785,205
786,210
787,203
788,1436
789,18
790,413
791,667
792,403
793,1413
794,222
795,213
796,203
797,203
798,227
799,215
800,209
801,200
802,204
803,211
804,202
805,205
806,203
807,199
808,4257
809,21
810,227
811,216
812,223
813,262
814,208
815,207
816,202
817,209
818,202
819,200
820,202
821,200
822,204
823,206
824,1741
825,554
826,374
827,463
828,540
829,548
830,227
831,212
832,1012
833,18
834,365
835,566
836,458
837,230
838,504
839,988
840,235
841,212
842,208
843,204
844,207
845,1365
846,398
847,510
848,568
849,417
850,224
851,1770
852,239
853,213
854,248
855,214
856,343
857,210
858,203
859,947
860,18
861,350
862,475
863,234
864,1108
865,234
866,657
867,215
868,214
869,208
870,211
871,1533
872,612
873,228
874,711
875,526
876,481
877,439
878,396
879,708
880,224
881,378
882,212
883,210
884,1172
885,18
886,216
887,626
888,293
889,712
890,428
891,18
892,592
893,549
894,16
895,10
896,213
897,642
898,213
899,12
900,359
901,14
902,349
903,410
904,405
905,12
906,677
907,20
908,710
909,239
910,15
911,391
912,389
913,632
914,556
915,301
916,418
917,397
918,602
919,19
920,1852
921,233
922,236
923,226
924,218
925,233
926,789
927,248
928,216
929,379
930,15
931,1024
932,422
933,531
934,363
935,525
936,678
937,236
938,533
939,568
940,420
941,544
942,311
943,1223
944,238
945,405
946,718
947,20
948,228
949,485
950,469
951,638
952,207
953,219
954,13
955,616
956,17
957,469
958,16
959,10
960,469
961,209
962,200
963,969
964,574
965,434
966,928
967,698
968,1165
969,232
970,526
971,155
972,18
973,215
974,503
975,15
976,645
977,412
978,21
979,559
980,425
981,1080
982,1859
983,219
984,213
985,337
986,408
987,567
988,505
989,372
990,711
991,388
992,221
993,522
994,576
995,466
996,717
997,325
998,498
999,566
1000,18
1001,434
1002,613
1003,223
1004,373
1005,1053
1006,211
1007,4026
1008,227
1009,207
1010,211
1011,203
1012,213
1013,2448
1014,241
1015,248
1016,242
1017,420
1018,217
1019,644
1020,15
1021,486
1022,472
1023,597
1024,450
1025,214
1026,205
1027,1126
1028,260
1029,214
1030,207
1031,209
1032,220
1033,211
1034,206
1035,207
1036,208
1037,2270
1038,227
1039,211
1040,209
1041,228
1042,205
1043,209
1044,204
1045,1858
1046,20
1047,1080
1048,258
1049,278
1050,442
1051,212
1052,1127
1053,235
1054,208
1055,211
1056,205
1057,917
1058,224
1059,218
1060,202
1061,210
1062,198
1063,210
1064,2001
1065,256
1066,216
1067,1030
1068,214
1069,638
1070,489
1071,441
1072,20
1073,534
1074,498
1075,4469
1076,274
1077,423
1078,308
1079,1304
1080,1178
1081,1316
1082,875
1083,1253
1084,467
1085,883
1086,1412
1087,647
1088,2634
1089,745
1090,758
1091,624
1092,403
1093,1134
1094,475
1095,380
1096,1478
1097,446
1098,519
1099,471
1100,488
1101,1879
1102,218
1103,209
1104,1068
1105,446
1106,217
1107,12
1108,1318
1109,353
1110,506
1111,341
1112,208
1113,212
1114,203
1115,1382
1116,398
1117,408
1118,477
1119,536
1120,549
1121,454
1122,211
1123,793
1124,504
1125,419
1126,973
1127,273
1128,390
1129,2596
1130,213
1131,198
1132,1851
1133,225
1134,197
1135,201
1136,194
1137,194
1138,189
1139,1396
1140,564
1141,206
1142,200
1143,192
1144,1014
1145,496
1146,889
1147,222
1148,210
1149,469
1150,21
1151,496
1152,430
1153,461
1154,354
1155,640
1156,328
1157,202
1158,1472
1159,217
1160,195
1161,195
1162,190
1163,188
1164,1219
1165,209
1166,198
1167,1271
1168,212
1169,192
1170,192
1171,189
1172,190
1173,189
1174,1587
1175,8800
1176,11145
1177,8877
1178,9792
1179,10313
1180,10382
1181,10684
1182,10236
1183,10289
1184,9685
1185,8653
1186,9770
1187,20631
1188,10152
1189,10554
1190,10151
1191,10199
1192,10252
1193,9791
1194,9978
1195,14132
1196,11
1197,10329
1198,9707
1199,10871
1200,10983
1201,10166
1202,9794
1203,9922
1204,11078
1205,9787
1206,10614
1207,20622
1208,10588
1209,9952
1210,9962
1211,10416
1212,11072
1213,10312
1214,10716
1215,9952
1216,10292
1217,10027
1218,10555
1219,10406
1220,10469
1221,10703
1222,10516
1223,11162
1224,9548
1225,9991
1226,10006
1227,9691
1228,9819
1229,11216
1230,9970
1231,10434
1232,10436
1233,10345
1234,10205
1235,10760
1236,8892
1237,10552
1238,10736
1239,10167
1240,9958
1241,2412
1242,12257
1243,10002
1244,10676
1245,10012
1246,10388
1247,9864
1248,9622
1249,9776
1250,10408
1251,9618
1252,9970
1253,10133
1254,11822
1255,14403
1256,9539
1257,10318
1258,10361
1259,10187
1260,10173
1261,10414
1262,10350
1263,10674
1264,10436
1265,10644
1266,9923
1267,10005
1268,10219
1269,9994
1270,9899
1271,10320
1272,9984
1273,9542
1274,10506
1275,10588
1276,10435
1277,11111
1278,10368
1279,10566
1280,11649
1281,10230
1282,10557
1283,11504
1284,9157
1285,9892
1286,9943
1287,9850
1288,10104
1289,9527
1290,9797
1291,9633
1292,9427
1293,9965
1294,9319
1295,9213
1296,7327
1297,9978
1298,20535
1299,9175
1300,10168
1301,10691
1302,9317
1303,13798
1304,14644
1305,16721
1306,20076
1307,20897
1308,15356
1309,9270
1310,9639
1311,9501
1312,9547
1313,10022
1314,10468
1315,8016
1316,9030
1317,9107
1318,9402
1319,9712
1320,9390
1321,10205
1322,9504
1323,9504
1324,9371
1325,9981
1326,10104
1327,9736
1328,9270
1329,9790
1330,10617
1331,9668
1332,9513
1333,9634
1334,9741
1335,9713
1336,9989
1337,9631
1338,9982
1339,9740
1340,9991
1341,1265
1342,11771
1343,10445
1344,19267
1345,9457
1346,9314
1347,9233
1348,9460
1349,9067
1350,9687
1351,9172
1352,8544
1353,9356
1354,9643
1355,9206
1356,9274
1357,9325
1358,9619
1359,9242
1360,9500
1361,9320
1362,9229
1363,10036
1364,9534
1365,16659
1366,10473
1367,9699
1368,9591
1369,9637
1370,9106
1371,13808
1372,13692
1373,9623
1374,9642
1375,9730
1376,9651
1377,1300
1378,12942
1379,9407
1380,9182
1381,9179
1382,9116
1383,9286
1384,8879
1385,9120
1386,9281
1387,9232
1388,9088
1389,9140
1390,9114
1391,9047
1392,9223
1393,9299
1394,9160
1395,9316
1396,9242
1397,9188
1398,9180
1399,9181
1400,9007
1401,9225
1402,9139
1403,9077
1404,8985
1405,9838
1406,9175
1407,9055
1408,8998
1409,8985
1410,9249
1411,9121
1412,9077
1413,9197
1414,9117
1415,9006
1416,9363
1417,9163
1418,9099
1419,9199
1420,9070
1421,9227
1422,9000
1423,9182
1424,9178
1425,14430
1426,14783
1427,9138
1428,9163
1429,9146
1430,9173
1431,9182
1432,9106
1433,9346
1434,9025
1435,9744
1436,6400
1437,9285
1438,18591
1439,9240
1440,9431
1441,9281
1442,9247
1443,9077
1444,18165
1445,9389
1446,17649
1447,18131
1448,8962
1449,8995
1450,8999
1451,9137
1452,8962
1453,8919
1454,8758
1455,9119
1456,9152
1457,9288
1458,9060
1459,8598
1460,9048
1461,9018
1462,8897
1463,9147
1464,6218
1465,18009
1466,9055
1467,8945
1468,8764
1469,8919
1470,9084
1471,8928
1472,8918
1473,8931
1474,8865
1475,8898
1476,8886
1477,8827
1478,8767
1479,8708
1480,8977
1481,9103
1482,8876
1483,18494
1484,45154
1485,8988
1486,8723
1487,9070
1488,9022
1489,9004
1490,9051
1491,8983
1492,8951
1493,9019
1494,8967
1495,8851
1496,8880
1497,8782
1498,8834
1499,8845
1500,8818
1501,8861
1502,8842
1503,8801
1504,9174
1505,9098
1506,10105
1507,9422
1508,9177
1509,9004
1510,8866
1511,8901
1512,9003
1513,9008
1514,8972
1515,9184
1516,8987
1517,9020
1518,9096
1519,8861
1520,8832
1521,8785
1522,8860
1523,8832
1524,8704
1525,8810
1526,8874
1527,8802
1528,8945
1529,8959
1530,9178
1531,8907
1532,8920
1533,8914
1534,8855
1535,8947
1536,8871
1537,8913
1538,9139
1539,9109
1540,17989
1541,18206
1542,9066
1543,9085
1544,8988
1545,8672
1546,8882
1547,8861
1548,8952
1549,8836
1550,6223
1551,8850
1552,18238
1553,9189
1554,9071
1555,8982
1556,9024
1557,8997
1558,9380
1559,8955
1560,9248
1561,18620
1562,9097
1563,9109
1564,9253
1565,9062
1566,8994
1567,9055
1568,9203
1569,6318
1570,8986
1571,17763
1572,8860
1573,8841
1574,8961
1575,9058
1576,8976
1577,9122
1578,8936
1579,8878
1580,8915
1581,9077
1582,8849
1583,26833
1584,9076
1585,9066
1586,8869
1587,8919
1588,8786
1589,8717
1590,8885
1591,9174
1592,8577
1593,8900
1594,8864
1595,8919
1596,8955
1597,9127
1598,9222
1599,9010
1600,9008
1601,8957
1602,8888
1603,8875
1604,8959
1605,9053
1606,8758
1607,9078
1608,8950
1609,9082
1610,10853
1611,9258
1612,8903
1613,9198
1614,9282
1615,9452
1616,9530
1617,9355
1618,11801
1619,9401
1620,9915
1621,9246
1622,9211
1623,9110
1624,9134
1625,8884
1626,8992
1627,9266
1628,8873
1629,9075
1630,8683
1631,9126
1632,9045
1633,9163
1634,9221
1635,8386
1636,9145
1637,9745
1638,9029
1639,9165
1640,8990
1641,8968
1642,9194
1643,8734
1644,8912
1645,9034
1646,9577
1647,8290
1648,8931
1649,9105
1650,8888
1651,9141
1652,8883
1653,9025
1654,9021
1655,9170
1656,9024
1657,10040
1658,8158
1659,61
1660,17634
1661,14333
1662,10666
1663,9050
1664,8784
1665,9049
1666,8978
1667,8871
1668,8943
1669,9054
1670,9141
1671,8981
1672,9338
1673,8981
1674,9084
1675,8989
1676,9434
1677,8486
1678,9034
1679,9102
1680,8993
1681,9100
1682,9117
1683,8755
1684,9016
1685,9001
1686,8917
1687,8945
1688,9018
1689,8781
1690,9055
1691,8948
1692,9064
1693,9357
1694,9035
1695,8661
1696,9006
1697,8912
1698,9045
1699,9003
1700,8982
1701,9179
1702,8847
1703,8745
1704,9091
1705,8751
1706,9371
1707,9403
1708,9499
1709,9192
1710,9190
1711,9136
1712,9058
1713,6353
1714,9211
1715,18006
1716,8989
1717,9110
1718,9062
1719,9216
1720,8931
1721,8990
1722,9110
1723,8942
1724,8867
1725,9031
1726,9055
1727,425
1728,11329
1729,10407
1730,10614
1731,9243
1732,11808
1733,10363
1734,12895
1735,16953
1736,19438
1737,17438
1738,17024
1739,19298
1740,15627
1741,17631
1742,14988
1743,16249
1744,17565
1745,16504
1746,16487
1747,17843
1748,13631
1749,16336
1750,15631
1751,15615
1752,19271
1753,15191
1754,17811
1755,17926
1756,16986
1757,18868
1758,16731
1759,14290
1760,18245
1761,15388
1762,16534
1763,20782
1764,24252
1765,16880
1766,16018
1767,11421
1768,16456
1769,35270
1770,17604
1771,13687
1772,17197
1773,17686
1774,15104
1775,19507
1776,17801
1777,18655
1778,17588
1779,10121
1780,10061
1781,10494
1782,10977
1783,10921
1784,10578
1785,10607
1786,10421
1787,11022
1788,10868
1789,10866
1790,11561
1791,10474
1792,10156
1793,10047
1794,11780
1795,9955
1796,20639
1797,22465
1798,14448
1799,10594
1800,12097
1801,11107
1802,12459
1803,12170
1804,9830
1805,13222
1806,11561
1807,10270
1808,11331
1809,12817
1810,13033
1811,11915
1812,10667
1813,10882
1814,11424
1815,10483
1816,10102
1817,11263
1818,10092
1819,10602
1820,10807
1821,11579
1822,10872
1823,13504
1824,7716
1825,10676
1826,10997
1827,11039
1828,11069
1829,11407
1830,12532
1831,14267
1832,14472
1833,22777
1834,19496
1835,12573
1836,11282
1837,13774
1838,13499
1839,19871
1840,14894
1841,14298
1842,13776
1843,14307
1844,16063
1845,14658
1846,14008
1847,15296
1848,12222
1849,13501
1850,11065
1851,13422
1852,16986
1853,11880
1854,14599
1855,9612
1856,9243
1857,9096
1858,9132
1859,9275
1860,9128
1861,9065
1862,14985
1863,15565
1864,15573
1865,12090
1866,10823
1867,9082
1868,9167
1869,9199
1870,9154
1871,9280
1872,9152
1873,9402
1874,9083
1875,10491
1876,6296
1877,9389
1878,19299
1879,9659
1880,9120
1881,9299
1882,9098
1883,9191
1884,10514
1885,10131
1886,9980
1887,10133
1888,11468
