Packet Number,Ingress Prossessing Duration
1,2.663
2,3.496
3,1.354
4,3.545
5,3.359
6,2.049
7,8.002
8,0.702
9,3.686
10,0.53
11,2.084
12,0.552
13,1.061
14,0.688
15,1.529
16,0.483
17,1.718
18,3.536
19,3.271
20,3.786
21,27.502
22,62.501
23,73.982
24,86.085
25,94.405
26,103.706
27,106.763
28,111.539
29,124.889
30,129.593
31,114.415
32,92.867
33,63.045
34,48.012
35,39.727
36,24.739
37,8.702
38,0.459
39,1.362
40,1.783
41,14.409
42,23.917
43,20.032
44,21.257
45,40.13
46,30.862
47,41.089
48,43.121
49,56.601
50,60.343
51,60.462
52,48.7
53,45.882
54,49.997
55,46.698
56,45.24
57,37.007
58,31.599
59,29.206
60,11.341
61,11.707
62,16.863
63,13.95
64,9.805
65,8.59
66,17.085
67,31.542
68,61.757
69,62.557
70,45.43
71,37.413
72,100.845
73,186.596
74,177.718
75,208.106
76,246.637
77,269.531
78,292.076
79,317.511
80,350.385
81,355.093
82,388.426
83,382.884
84,364.148
85,365.412
86,396.461
87,409.731
88,426.835
89,460.982
90,467.483
91,423.374
92,437.794
93,443.964
94,474.739
95,495.683
96,597.492
97,592.801
98,602.192
99,639.099
100,683.153
101,605.563
102,610.108
103,601.215
104,593.423
105,570.825
106,564.709
107,587.906
108,577.942
109,578.103
110,588.669
111,557.117
112,560.288
113,553.651
114,529.784
115,483.091
116,460.875
117,404.992
118,289.49
119,268.886
120,270.786
121,270.126
122,264.427
123,219.567
124,210.347
125,176.069
126,164.135
127,134.084
128,89.393
129,79.068
130,55.152
131,40.82
132,24.929
133,21.794
134,4.518
135,2.671
136,23.183
137,1.212
138,1.387
139,1.33
140,5.824
141,0.946
142,1.003
143,1.0
144,0.942
145,1.217
146,1.067
147,1.035
148,1.306
149,1.187
150,8.428
151,8.246
152,28.909
153,3.9
154,29.733
155,22.259
156,0.838
157,11.442
158,3.106
159,1.055
160,10.226
161,25.756
162,74.962
163,37.904
164,63.707
165,81.431
166,135.381
167,140.008
168,172.805
169,172.82
170,226.766
171,219.409
172,194.404
173,235.971
174,236.131
175,246.236
176,230.024
177,261.754
178,245.57
179,260.678
180,230.525
181,226.253
182,156.179
183,198.346
184,88.898
185,89.08
186,80.692
187,40.978
188,40.152
189,80.33
190,80.332
191,106.712
192,89.738
193,93.893
194,123.958
195,139.408
196,117.393
197,95.919
198,88.905
199,75.797
200,34.019
